Product_Name,Brand,Reviews,Price,Rate,Origin,Platform,Category,Sold_Weekly
BBQ Konjac 100g,zhenleyi,7,3.19,4.9,Mainland China,Yami,Dessert,50+ Sold
Bamboo Shoot Tips w/ P. Pepper 230g,gourmet farm,2,3.29,3,Mainland China,Yami,Dessert,200+ Sold
Thick Shrimp Tomato Cream Soup Instant Soup 3pcs,pokka sapporo,2,4.99,4.5,Japan,Yami,Dessert,Less than 50
Thick Cream Mushroom Cheese Cream Soup Instant Soup 3pcs,pokka sapporo,3,4.99,4,Japan,Yami,Dessert,Less than 50
Cheese Seafood Soup 3pcs,pokka sapporo,3,4.99,4.7,Japan,Yami,Dessert,Less than 50
Garlic Chili Sauce 220g,hopen,4,2.49,4.5,Mainland China,Yami,Dessert,50+ Sold
TONGFU Red Bean And Black Rice Porridge 280g,tongfu porridge,1,1.79,5,Mainland China,Yami,Dessert,Less than 50
Mixed Congee 300g,tongfu porridge,1,1.49,4,Mainland China,Yami,Dessert,Less than 50
Thick Butter Chicken Soup Instant Soup 3pcs,pokka sapporo,0,4.99,0,Japan,Yami,Dessert,Less than 50
Red Bean Coix Seed Starch 350g,liziqi,27,12.99,4.6,Mainland China,Yami,Dessert,50+ Sold
HAINAN ISLAND Coconut Milk Dessert 360g No preservatives,hainanisland,103,1.69,4.7,Mainland China,Yami,Dessert,300+ Sold
Mashed Taro and Coconut Meal Replacement Shake,healthy & funny,20,27.99,4.8,Mainland China,Yami,Dessert,200+ Sold
WUGUMOFANG Black Soy Milk Powder 448g,wugu mofang,14,11.99,4.6,Mainland China,Yami,Dessert,200+ Sold
Cooked Marinated Egg in Soy Sauce 6pcs,lam sheng kee,41,3.99,4,Taiwan,Yami,Dessert,Less than 50
Longan Rice Congee 340g,chinchin,49,1.29,4.6,Taiwan,Yami,Dessert,300+ Sold
Fresh Hawthorn Bottle 425g,ljpz,17,2.19,4.9,Mainland China,Yami,Dessert,Less than 50
Chinese water chestnut tremella soup 40g,buydeem,9,4.79,4.8,Mainland China,Yami,Dessert,50+ Sold
Babao Rice Multi-grain & Osmanthus Flavor 350g,qinyiwan,32,3.49,4.6,Mainland China,Yami,Dessert,50+ Sold
Preserved Egg and Lean Pork Congee 38g,haifusheng,2,1.99,5,Mainland China,Yami,Dessert,50+ Sold
Longan Mixed Congee 360g,yinlu,29,2.39,4.7,Mainland China,Yami,Dessert,50+ Sold
Babao Rice Honey Rose & & Brown Sugar Flavor 350g,qinyiwan,31,3.49,4.2,Mainland China,Yami,Dessert,50+ Sold
Lotus Oatmeal 320g,chinchin,40,1.29,4.1,CHINCHIN,Yami,Dessert,Less than 50
WUGUMOFANG Red Bean Coix Porridge 650g,wugu mofang,13,19.99,4.8,Mainland China,Yami,Dessert,Less than 50
Jiangzhong Hougu Breakfast Rice Cereal Value Pack (Original+Black Sesame) 900g,jzjt,9,41.99,4.2,Mainland China,Yami,Dessert,100+ Sold
ONETENG Freeze Dried Jujube Wolfberry White Fungus Soup 90g,sungiven foods,24,6.59,4.7,Mainland China,Yami,Dessert,50+ Sold
Canned In Syrup(Yellow Peaches) 680g,qianbaiwei,17,2.99,4.8,Mainland China,Yami,Dessert,50+ Sold
Tangerine Peel and Lotus Seed Red Bean Paste 200g,chaozhoulang,4,3.69,4.5,Mainland China,Yami,Dessert,300+ Sold
Lotus BBQ Flavor 168g,bestore,29,4.39,4,Mainland China,Yami,Dessert,100+ Sold
Pitaya and Strawberry Meal Replacement Shake,healthy & funny,8,27.99,4.6,Mainland China,Yami,Dessert,200+ Sold
ONETENG Freeze Dried Rock Sugar Snow Pear White Fungus Soup 90g,sungiven foods,18,6.49,4.9,Mainland China,Yami,Dessert,50+ Sold
Red Bean Barley Meal Powder 10 bags,buydeem,5,8.99,5,Mainland China,Yami,Dessert,200+ Sold
Rye Black Sesame Rye Soup 200g,chaozhoulang,4,3.69,4.5,Mainland China,Yami,Dessert,300+ Sold
Pickled pepper and bamboo shoot slices 188g,bestore,4,2.79,5,Mainland China,Yami,Dessert,300+ Sold
WFZ Purple Potato Black Rice Porridge 350g,wufangzhai,11,2.29,5,Mainland China,Yami,Dessert,50+ Sold
Tropical Classic Tapioca Pearl Pudding with Coconut Chunks 2 Pack 230g,tas,9,2.89,4.9,Mainland China,Yami,Dessert,50+ Sold
JXJFOOD Fungus Pickled Vegetables 180g,ji xiang ju,15,1.69,4.3,Mainland China,Yami,Dessert,50+ Sold
Spicy wild Mushroom 50g,hexin,13,1.59,4.5,Mainland China,Yami,Dessert,50+ Sold
?€?Frozen?€?PMO Mozzarella Cheese Topokki 400g,pmo,0,6.99,0,Korea,Yami,Dessert,Less than 50
Chia seed Oatmeal 2 bags,buydeem,5,3.39,5,Mainland China,Yami,Dessert,300+ Sold
Dried Mushroom 50g,hexin,8,1.59,4.8,Mainland China,Yami,Dessert,50+ Sold
Eleocharis Corn Oatmeal 2 bags 112g,buydeem,1,3.5,4,Mainland China,Yami,Dessert,200+ Sold
Spicy Porcino 16g*20,hexin,6,7.99,4.7,Mainland China,Yami,Dessert,50+ Sold
Peanut Soup with Milk 320g,chinchin,4,1.89,4.5,qinqin,Yami,Dessert,300+ Sold
Crisp Bamboo Shoot w/ Enoki Mushroom 230g,gourmet farm,2,2.99,1,Mainland China,Yami,Dessert,200+ Sold
Ancient Method Brown Sugar Red Bean Paste 330ml,duliyouhuo,2,3.89,5,Mainland China,Yami,Dessert,200+ Sold
Crisp Bamboo Shoot w/ P.Cabbage 230g,gourmet farm,3,3.29,5,Mainland China,Yami,Dessert,50+ Sold
BBQ Termiyomyces 100g,zhenleyi,2,3.19,5,Mainland China,Yami,Dessert,50+ Sold
Spicy Boletus 100g,zhenleyi,5,2.99,2.8,Mainland China,Yami,Dessert,50+ Sold
TONGFU Longan Lotus Seed Porridge 320g,tongfu porridge,1,1.79,5,Mainland China,Yami,Dessert,Less than 50
