Product_Name,Brand,Reviews,Price,Option,Rate,Origin,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Renvenue
"Natural Yeast Bread Hokkaido Creamy Flavor, 80g",d-plus,1251,1.59,9 Options,4.7,Japan,Yami,Bread,300,1200,477
Breakfast Bread 400g,dali,6,4.99,No,4.7,Mainland China,Yami,Bread,25,100,125
Pocket Bread with Pineapple 50g,moranca,75,2.29,7 Options,4.4,Mainland China,Yami,Bread,25,100,57
Little White Heart Warm Bread 2PC Original Flavor 80g,moranca,75,3.99,4 Options,4.6,Mainland China,Yami,Bread,25,100,100
"Natural Yeast Bread Red Bean Flavor, 80g",d-plus,453,1.49,9 Options,4.4,Japan,Yami,Bread,300,1200,447
Little White Heart Sandwich Bread with Strawberry Yogurt 4PC 76g,moranca,255,3.89,7 Options,4.4,Mainland China,Yami,Bread,25,100,97
"Natural Yeast Bread Chocolate Flavor, 80g",d-plus,409,1.59,9 Options,4.6,Japan,Yami,Bread,300,1200,477
"Natural Yeast Bread Green Tea Flavor, 80g",d-plus,611,1.59,9 Options,4.5,Japan,Yami,Bread,300,1200,477
Japanese Koubo Choco Cream Bread  2.32oz,panex,1,2.19,8 Options,5.0,Japan,Yami,Bread,25,100,55
Japanese Koubo Choco Danish Bread 2.36oz,panex,2,2.19,8 Options,4.5,Japan,Yami,Bread,25,100,55
PANPAN French Soft Bread Cream Flavor 15pcs 20g,asia foods,246,3.99,6 Options,4.7,Mainland China,Yami,Bread,300,1200,1197
Little White Heart Red Bean Custard Bread 90g,moranca,4,2.99,2 Options,3.8,Mainland China,Yami,Bread,25,100,75
Little White Heart Red Bean Custard Bread 90g,moranca,4,2.99,2 Options,3.8,Mainland China,Yami,Bread,25,100,75
DXC Yeast Bread Egg & Milk Flavor 105g,dao xiang cun,90,1.29,3 Options,4.6,Mainland China,Yami,Bread,300,1200,387
Gourmet Bread with Candied Fruit 310g,dao xiang cun,67,4.29,2 Options,4.3,Mainland China,Yami,Bread,25,100,107
Little White Heart Warm Bread 2PC Yogurt Flavor 80g,moranca,59,3.99,4 Options,4.4,Mainland China,Yami,Bread,25,100,100
Pan Pan-French Soft Bread Orange Flavor 400g,asia foods,45,3.59,6 Options,4.5,Mainland China,Yami,Bread,300,1200,1077
Little White Heart Little Bread Milk Flavor,moranca,36,1.09,No,4.1,Mainland China,Yami,Bread,25,100,27
Natural Yeast Bread Okinawa Brown Sugar Flavor 80g,d-plus,342,1.59,9 Options,4.7,Japan,Yami,Bread,300,1200,477
Soft Bread Original Flavor 388g,heimuya,8,3.99,2 Options,4.2,Mainland China,Yami,Bread,50,200,200
DALI Soft French Bread Orange 18 Pieces  360g,daligroup,105,5.09,2 Options,4.6,Mainland China,Yami,Bread,300,1200,1527
Tokyo Bread Okinawa Black Sugar Flavor,tokyo food,1,2.49,No,5.0,Korea,Yami,Bread,25,100,62
PANPAN Bread Roll Brown Sugar Flavor 480g 12pc,asia foods,130,3.99,No,4.2,Mainland China,Yami,Bread,300,1200,1197
Tokyo Bread Salt Butter Flavor,tokyo food,1,2.49,No,5.0,Korea,Yami,Bread,25,100,62
PANPAN Soft Bread Cream Flavor 15pcs 20g,asia foods,50,3.99,2 Options,4.6,Mainland China,Yami,Bread,300,1200,1197
PANPAN French Small Bread Cream Flavor 10pcs 20g,asia foods,24,3.49,2 Options,4.7,Mainland China,Yami,Bread,100,400,349
Bread 258g,dao xiang cun,41,4.99,No,4.7,Mainland China,Yami,Bread,25,100,125
DALIYUAN Mini French Bread 320g,daligroup,39,5.59,No,4.7,Mainland China,Yami,Bread,25,100,140
PANPAN French Soft Bread Orange Flavor 15pcs 300g,asia foods,45,3.99,6 Options,4.5,Mainland China,Yami,Bread,300,1200,1197
French Soft Bread #pineapple 15pcs 300g,asia foods,2,3.99,6 Options,5.0,Mainland China,Yami,Bread,200,800,798
"Natural Yeast Bread Coffee Flavor, 80g*6pcs",d-plus,1,9.49,No,5.0,Japan,Yami,Bread,25,100,237
PANPAN Ameria Dry Bread - Strawberry 160g,asia foods,1,3.39,No,5.0,Mainland China,Yami,Bread,200,800,678
Little White Heart Sandwich Toast Bread Salad Flavor 86g,moranca,184,3.29,3 Options,4.6,Mainland China,Yami,Bread,25,100,82
DXC Mini Bread Cheese 268g,dao xiang cun,106,3.29,2 Options,4.2,Mainland China,Yami,Bread,300,1200,987
Milky Bread Stick Original Flavor 380g,lejinji,86,4.39,2 Options,4.7,Mainland China,Yami,Bread,25,100,110
Little White Heart Waffle Bread 60g,moranca,50,3.49,2 Options,4.5,Mainland China,Yami,Bread,25,100,87
GARCIA Red Bean Paste Bread with Taro Orange Paste 1pcs,jiaxiya,42,0.59,4 Options,4.6,Mainland China,Yami,Bread,50,200,30
"Natural Yeast Bread Coffee Flavor, 80g",d-plus,298,1.49,9 Options,4.7,Japan,Yami,Bread,300,1200,447
Bread with Sweet Mashed Red Bean Paste 80g,d-plus,298,1.59,9 Options,4.4,Japan,Yami,Bread,300,1200,477
DALI Soft French Bread 18 Pieces  360g,daligroup,271,4.69,2 Options,4.7,Mainland China,Yami,Bread,300,1200,1407
Waffle Bread Yogurt Flavor 308g,aixiangqin,16,4.29,No,4.9,Mainland China,Yami,Bread,100,400,429
GARCIA Red Bean Paste Bread with Orange Paste 1pcs,jiaxiya,29,0.59,4 Options,4.6,Mainland China,Yami,Bread,50,200,30
Toast Bread Milk Flavor 338g,aixiangqin,11,4.99,No,4.6,Mainland China,Yami,Bread,50,200,250
LIANGKOUZI Purple Rice Salad Bread 60g,sunway snack,2,2.99,No,5.0,United States,Yami,Bread,25,100,75
Soft Bread Cheese Flavor 388g,heimuya,6,3.99,2 Options,4.5,Mainland China,Yami,Bread,50,200,200
"Natural Yeast Bread Chocolate Flavor, 80g*6pcs",d-plus,2,9.49,No,5.0,Japan,Yami,Bread,25,100,237
"Natural Yeast Bread Green Tea Flavor, 80g*6pcs",d-plus,1,9.49,No,5.0,Japan,Yami,Bread,25,100,237
PANPAN Ameria Milk Dry Bread Lemon Flavor 160g,asia foods,2,3.99,No,5.0,Mainland China,Yami,Bread,200,800,798
Tokyo Bread Chocolate Flavor,tokyo food,1,2.49,No,5.0,Korea,Yami,Bread,25,100,62
?€?Value Set?€?PANPAN Bread Roll Cream Flavor 24pc 960g,asia foods,42,7.29,2 Options,4.9,Mainland China,Yami,Bread,100,400,729
Pineapple Bread 300g,daligroup,14,3.99,No,4.7,Mainland China,Yami,Bread,25,100,100
DXC Shredded Bread Stick Original Flavor 186g,dao xiang cun,123,3.29,No,4.8,Mainland China,Yami,Bread,300,1200,987
DXC Yeast Bread Original Flavor 105g,dao xiang cun,87,1.29,3 Options,4.7,Mainland China,Yami,Bread,300,1200,387
GARCIA Red Bean Paste Bread with Taro Paste 1pcs,jiaxiya,51,0.59,4 Options,4.5,Mainland China,Yami,Bread,50,200,30
Europe Soft Bread with Orange Peel and Raisins 85g,moranca,13,3.89,4 Options,4.5,Mainland China,Yami,Bread,25,100,97
PANPAN Ameria milk bread dry 160g,asia foods,45,3.99,No,4.6,Mainland China,Yami,Bread,300,1200,1197
GARCIA Red Bean Paste Bread with Mung Bean Paste 1pcs,jiaxiya,33,0.59,4 Options,4.6,Mainland China,Yami,Bread,50,200,30
Waffle Bread Yogurt Flavor 308g,aixiangqin,16,4.29,No,4.9,Mainland China,Yami,Bread,100,400,429
Natural Yeast Bread Okinawa Brown Sugar Flavor 80g*6pcs,d-plus,2,9.49,No,5.0,Japan,Yami,Bread,25,100,237
French Soft Bread #banana 15pcs 300g,asia foods,2,3.99,6 Options,4.0,Mainland China,Yami,Bread,200,800,798
GARCIA Red Bean Paste Bread with Orange Paste 1pcs,jiaxiya,29,0.59,4 Options,4.6,Mainland China,Yami,Bread,50,200,30
Tokyo Bread Cream Flavor,tokyo food,4,2.49,No,5.0,Korea,Yami,Bread,25,100,62
Toast Bread Milk Flavor 338g,aixiangqin,11,4.99,No,4.6,Mainland China,Yami,Bread,50,200,250
LIANGKOUZI Purple Rice Salad Bread 60g,sunway snack,2,2.99,No,5.0,United States,Yami,Bread,25,100,75
Soft Bread Cheese Flavor 388g,heimuya,6,3.99,2 Options,4.5,Mainland China,Yami,Bread,50,200,200
"Natural Yeast Bread Chocolate Flavor, 80g*6pcs",d-plus,2,9.49,No,5.0,Japan,Yami,Bread,25,100,237
"Natural Yeast Bread Green Tea Flavor, 80g*6pcs",d-plus,1,9.49,No,5.0,Japan,Yami,Bread,25,100,237
PANPAN Ameria Milk Dry Bread Lemon Flavor 160g,asia foods,2,3.99,No,5.0,Mainland China,Yami,Bread,200,800,798
Tokyo Bread Chocolate Flavor,tokyo food,1,2.49,No,5.0,Korea,Yami,Bread,25,100,62
DALI Soft French Bread Orange 18 Pieces  360g,daligroup,105,5.09,2 Options,4.6,Mainland China,Yami,Bread,300,1200,1527
PANPAN Bread Roll Brown Sugar Flavor 480g 12pc,asia foods,130,3.99,No,4.2,Mainland China,Yami,Bread,300,1200,1197
PANPAN Soft Bread Cream Flavor 15pcs 20g,asia foods,50,3.99,2 Options,4.6,Mainland China,Yami,Bread,300,1200,1197
PANPAN French Small Bread Cream Flavor 10pcs 20g,asia foods,24,3.49,2 Options,4.7,Mainland China,Yami,Bread,100,400,349
Bread 258g,dao xiang cun,41,4.99,No,4.7,Mainland China,Yami,Bread,25,100,125
DALIYUAN Mini French Bread 320g,daligroup,39,5.59,No,4.7,Mainland China,Yami,Bread,25,100,140
PANPAN French Soft Bread Orange Flavor 15pcs 300g,asia foods,45,3.99,6 Options,4.5,Mainland China,Yami,Bread,300,1200,1197
DXC Shredded Bread Stick Original Flavor 186g,dao xiang cun,123,3.29,No,4.8,Mainland China,Yami,Bread,300,1200,987
French Soft Bread #pineapple 15pcs 300g,asia foods,2,3.99,6 Options,5.0,Mainland China,Yami,Bread,200,800,798
"Natural Yeast Bread Coffee Flavor, 80g*6pcs",d-plus,1,9.49,No,5.0,Japan,Yami,Bread,25,100,237
PANPAN Ameria Dry Bread - Strawberry 160g,asia foods,1,3.39,No,5.0,Mainland China,Yami,Bread,200,800,678
DXC Yeast Bread Original Flavor 105g,dao xiang cun,87,1.29,3 Options,4.7,Mainland China,Yami,Bread,300,1200,387
Europe Soft Bread with Orange Peel and Raisins 85g,moranca,13,3.89,4 Options,4.5,Mainland China,Yami,Bread,25,100,97
PANPAN Ameria milk bread dry 160g,asia foods,45,3.99,No,4.6,Mainland China,Yami,Bread,300,1200,1197
GARCIA Red Bean Paste Bread with Mung Bean Paste 1pcs,jiaxiya,33,0.59,4 Options,4.6,Mainland China,Yami,Bread,50,200,30
Shredded Bread 330g,bestore,7,4.79,No,4.3,Mainland China,Yami,Bread,50,200,240
Little Bee Sea Salt Cheese Custard Bread 220g,snack lab,8,6.99,No,4.8,Mainland China,Yami,Bread,25,100,175
Toasted Bread Slice Spicy Flavor 308g,yumei,201,3.29,2 Options,4.8,Mainland China,Yami,Bread,25,100,82
Xi'an PaoMo Instant Bread Soup 260g,liuyipao,158,4.39,No,4.4,Mainland China,Yami,Bread,25,100,110
Mochi Bread Premix 500g,baisha,23,4.59,No,4.8,Mainland China,Yami,Bread,100,400,459
Tom Yum Bread 80g,little farm,10,2.49,4 Options,3.7,Thailand,Yami,Bread,25,100,62
Handmade Non-stick Corrugated Loafpan With Cover Toast Bread Baking Mold Box 300g WK9404,chefmade,2,16.99,25 Options,5.0,Taiwan,Yami,Bread,25,100,425
?€?Frozen?€?Steamed Bread with Carrot 400g,gangyagou,3,3.99,No,5.0,Mainland China,Yami,Bread,25,100,100
Panko Bread Crumbs 198g,shirakiku,4,1.99,No,5.0,Japan,Yami,Bread,25,100,50
Xi'an Fried Pita Bread with Soup 260g,liuyipao,151,4.39,No,4.6,Mainland China,Yami,Bread,25,100,110
Korean Sesame Bread Mix 500g,qone,38,5.69,No,4.9,Korea,Yami,Bread,25,100,142
Bread Crunbs 100g,baker dream,10,1.29,No,5.0,Mainland China,Yami,Bread,50,200,65
Golden Brown Bread Pumpkin Potage 34.5g,pokka sapporo,18,2.99,9 Options,4.6,Japan,Yami,Bread,25,100,75
Golden Brown Bread Mushroom Potage 27.2g,pokka sapporo,36,2.99,9 Options,4.7,Japan,Yami,Bread,25,100,75
MDQ-Toasted Bread Slice seaweed Flavor 185g,miduoqi,29,1.89,No,4.9,Mainland China,Yami,Bread,25,100,47
Sliced Chinese Dry Bread Spicy Flavor 100g,red gulin,15,1.69,2 Options,4.5,Mainland China,Yami,Bread,25,100,42
Sliced Chinese Dry Bread Spicy Flavor 100g,red gulin,15,1.69,2 Options,4.5,Mainland China,Yami,Bread,25,100,42
Handmade Non-stick Corrugated Loaf Pan With Cover Toast Bread Baking Mold Box Golden 450g WK9054C,chefmade,5,21.99,25 Options,5.0,Taiwan,Yami,Bread,200,800,4398
Small Twisted Bread Mildfavor,wolong,1,2.89,No,4.0,Mainland China,Yami,Bread,25,100,72
Loaf Pan Handmade Toast Bread Baking Mold Box SN2182  100*100*100mm,san neng bakeware,2,13.99,3 Options,4.5,Mainland China,Yami,Bread,25,100,350
?€?Frozen?€?Rice Steamed Bread with Brown Sugar 350g,gangyagou,3,3.79,No,5.0,Mainland China,Yami,Bread,25,100,95
?€?Frozen?€?Oven Baked Flat Bread 540g,little alley,1,5.29,No,5.0,Mainland China,Yami,Bread,25,100,132
Paomo Instant Bread Soup 162g*4,laosunjia,11,11.99,No,4.2,Mainland China,Yami,Bread,25,100,300
Golden Brown Bread Vegetable Potage 28.4g,pokka sapporo,15,2.99,9 Options,4.4,Japan,Yami,Bread,25,100,75
Short Bread 12pc,fujiya,4,2.89,No,4.5,Japan,Yami,Bread,25,100,72
Crispy Bread Cereal Caramel Flavor 130g,nissin,1,3.89,No,5.0,Japan,Yami,Bread,25,100,97
?€?Frozen?€?Steam Bread Multi Grain 480g,imei,3,2.99,No,4.7,Taiwan,Yami,Bread,50,200,150
Crispy Fried Chicken Bread Crumbs 500g,ji de li,14,2.99,No,5.0,Mainland China,Yami,Bread,50,200,150
Bread Flour 500g,baisha,12,2.99,No,5.0,Mainland China,Yami,Bread,300,1200,897
?€?Frozen?€?Rice Steamed Bread 350g,gangyagou,5,3.79,No,5.0,Mainland China,Yami,Bread,25,100,95
Sliced Chinese Dry Bread Original 100g,red gulin,12,1.69,2 Options,4.6,Mainland China,Yami,Bread,25,100,42
Small Twisted Bread BBQ Favor,wolong,3,2.89,No,5.0,Mainland China,Yami,Bread,25,100,72
Golden Brown Bread Clam Chowder Potage 27.2g,pokka sapporo,50,2.99,9 Options,4.5,Japan,Yami,Bread,25,100,75
Golden Brown Bread Cheese Fondue Potage 38g,pokka sapporo,40,2.99,9 Options,4.7,Japan,Yami,Bread,25,100,75
Golden Brown Bread Butter Potato Potage 31.0g,pokka sapporo,34,2.99,9 Options,4.6,Japan,Yami,Bread,25,100,75
Golden Brown Bread Corn Potage 31.4g,pokka sapporo,28,2.99,9 Options,4.6,Japan,Yami,Bread,25,100,75
Loaf Pan Handmade Toast Bread Baking Mold SN2066  450g  196*160*110 (mm),san neng bakeware,1,29.99,No,5.0,Mainland China,Yami,Bread,25,100,750
Handmade Tiger Skin Cake 110g,ranli,555,3.59,No,4.8,Mainland China,Yami,Bread,25,100,90
Chestnut Pie Cake 128g,guoshanlaocun,299,3.49,3 Options,4.6,Mainland China,Yami,Bread,300,1200,1047
Baked Cake Chocolate Flavor 95g,ranli,49,2.29,No,4.7,Mainland China,Yami,Bread,25,100,57
Baked Cake Red Velvet Flavor 95g,ranli,57,2.29,No,4.8,Mainland China,Yami,Bread,25,100,57
Ovaltine Flavor Cake Roll 1pc,xianchang,158,2.29,No,4.5,Mainland China,Yami,Bread,25,100,57
Honey Jujube Cakes 850g,dao xiang cun,6,16.99,No,4.8,Mainland China,Yami,Bread,200,800,3398
Classic Seaweed Sugar Cake 120g,ranli,356,3.59,No,4.8,Mainland China,Yami,Bread,25,100,90
Mung Bean Pie Cake 128g,guoshanlaocun,135,3.49,3 Options,4.6,Mainland China,Yami,Bread,300,1200,1047
Baked Cake Green Tea Flavor 95g,ranli,41,2.29,No,4.8,Mainland China,Yami,Bread,25,100,57
Melon Paste Toast 480g,snack lab,97,7,3 Options,4.7,Mainland China,Yami,Bread,25,100,175
Sesame Cake 150g,yumei,664,3.39,No,4.5,Mainland China,Yami,Bread,25,100,85
Marukyo Assorted Traditional Cakes 18 cakes 250g,wangjing,271,4.89,No,4.4,Japan,Yami,Bread,25,100,122
Red Bean Pie Cake 128g,guoshanlaocun,118,3.49,3 Options,4.6,Mainland China,Yami,Bread,25,100,87
Cheese Baked Cake 300g,sanweisuwu,138,13.99,No,4.7,Mainland China,Yami,Bread,25,100,350
Egg Yolk Baked Cake 330g,sanweisuwu,81,16.99,No,4.7,Mainland China,Yami,Bread,25,100,425
DXC-Family Reunion Pastry Gift 1132g,dao xiang cun,1,33.99,No,4.0,Mainland China,Yami,Bread,200,800,6798
Sandwich Cake Chocolate Flavor 90g,moranca,74,3.59,No,4.6,Mainland China,Yami,Bread,25,100,90
Q Cake 5pcs 600g,saint paul,1,32.99,No,5.0,Taiwan,Yami,Bread,25,100,825
Choco Pie 12pc 336g,lotte korea,400,4.89,No,4.8,Korea,Yami,Bread,25,100,122
Durian Cake 252g,sanweisuwu,39,13.99,No,4.6,Mainland China,Yami,Bread,25,100,350
YZD Mini Cake Salted Egg Yolk Flavor 188g,aji taiwan,9,3.49,No,4.2,Taiwan,Yami,Bread,300,1200,1047
YZD Mini Cake Milk Flavor 188g,aji taiwan,4,3.49,No,4.5,Taiwan,Yami,Bread,300,1200,1047
Puff Cake 10pcs,douyu,37,11.99,No,4.8,Mainland China,Yami,Bread,50,200,600
Mung Bean Cake Osmanthus Flavor 190g,zhiweiguan,137,7.79,4 Options,4.7,Mainland China,Yami,Bread,25,100,195
Custard Cream Cake Family Size 12pc 276g,lotte korea,137,7.89,2 Options,4.6,Korea,Yami,Bread,25,100,197
Custard Cream Cake Family Size 12pc 276g,lotte korea,137,7.89,2 Options,4.6,Korea,Yami,Bread,25,100,197
Mung Bean Cake Matcha Flavor 190g,zhiweiguan,83,7.79,4 Options,4.7,Mainland China,Yami,Bread,25,100,195
Mung Bean Cake Original Flavor 190g,zhiweiguan,126,7.79,4 Options,4.7,Mainland China,Yami,Bread,25,100,195
Mochi Baked Cake 300g,sanweisuwu,134,17.99,No,4.6,Mainland China,Yami,Bread,25,100,450
Baum Cake Cheese Flavor 225g,marukin,108,4.99,5 Options,4.5,Japan,Yami,Bread,25,100,125
Baum Cake Chocolate Flavor 230g,marukin,131,4.99,5 Options,4.7,Japan,Yami,Bread,25,100,125
Mini Sweet Potato Cake 9pcs,marukin,80,4.99,No,4.5,Japan,Yami,Bread,25,100,125
Banh Pia Taro Durian Cake Yolk 4pc 400g,thien sa,74,9.69,3 Options,4.5,Vietnam,Yami,Bread,25,100,242
Bubble Cheese Tart Oreo Flavor 86g,rimo,3,3.89,2 Options,5.0,Japan,Yami,Bread,25,100,97
Pan Pan-Swiss Roll (Banana) 20g,asia foods,64,3.39,3 Options,4.8,Mainland China,Yami,Bread,300,1200,1017
MARUKYO Japanese Pancake Chestnut Flavor 5 Packs 290g,wangjing,83,5.49,3 Options,4.7,Japan,Yami,Bread,25,100,137
Puff Pastries Gift Set 342g,imei,5,13.99,No,5.0,Taiwan,Yami,Bread,200,800,2798
Rice Cake Original 500g,liufu,5,3.99,No,5.0,Mainland China,Yami,Bread,25,100,100
Sandwich Cake Matcha Flavor 90g,moranca,56,3.99,No,4.5,Mainland China,Yami,Bread,25,100,100
PANPAN Swiss Roll Strawberry Flavor 240g,asia foods,113,3.49,3 Options,4.7,Mainland China,Yami,Bread,300,1200,1047
Marukyo Japanese Pancake Green Tea Flavor 5Packs 275g,wangjing,57,2.6,2 Options,4.5,Japan,Yami,Bread,25,100,65
Longan Walnut Bars Gift Set 400g,imei,8,16.99,No,5.0,Taiwan,Yami,Bread,25,100,425
Tokyo Rich Cheese Cake 10pc,buono,4,18.99,No,4.5,Taiwan,Yami,Bread,200,800,3798
Longjing Green Tea Osmanthus Cake 190g,zhiweiguan,72,8.49,No,4.7,Mainland China,Yami,Bread,25,100,212
Walnut Date Bars Gift Set 720g,imei,9,23.99,No,5.0,Taiwan,Yami,Bread,25,100,600
Mini Bakes Milk Cake 9pc 225g,marukin,149,4.99,5 Options,4.7,Japan,Yami,Bread,25,100,125
Half Baked Cheese Mini Cake 190g,chikodo,198,5.99,No,4.4,Mainland China,Yami,Bread,300,1200,1797
Bubble Cheese Tart White Peach Flavor 86g,rimo,7,3.89,2 Options,4.3,Japan,Yami,Bread,25,100,97
Dark Chocolate Crispy Toast 97g,baledge,10,5.99,No,4.6,Mainland China,Yami,Bread,50,200,300
Muffin Cholocate Flavor 192g,master kong,5,4.99,No,4.8,Mainland China,Yami,Bread,25,100,125
Dorayaki Red Bean With Chestnuts Flavor 5pcs 55g,shirakiku,78,4.69,3 Options,4.6,Japan,Yami,Bread,25,100,117
Baked Red Bean Cake Green Tea 6packs 310g,wangjing,176,6.99,4 Options,4.6,Japan,Yami,Bread,25,100,175
Banh Pia Durian Cake Vegetarian 4pc 280g,thien sa,91,4.99,3 Options,4.6,Vietnam,Yami,Bread,25,100,125
MON CHER Cacao Cake 12pcs 384g,lotte korea,32,7.99,4 Options,4.8,Korea,Yami,Bread,25,100,200
Castella Milk Flavor 330g,aji,4,5.99,3 Options,5.0,Mainland China,Yami,Bread,200,800,1198
Dorayaki Baked Red Bean Cake 5pc,shirakiku,49,3.99,3 Options,4.7,Japan,Yami,Bread,25,100,100
Toast with Purple Rice 50g,moranca,309,1.99,3 Options,4.6,Mainland China,Yami,Bread,25,100,50
Mini Balm Roll Marron 139g,bourbon,3,5.29,No,4.3,Japan,Yami,Bread,50,200,265
Shanghai Rice Crackers Osmanthus Flavor 400g,zhoujimeishi,19,3.39,No,3.5,Mainland China,Yami,Bread,25,100,85
DALI Butter Croissant 240g,daligroup,16,5.99,No,4.9,Mainland China,Yami,Bread,50,200,300
Purin Mix 77g,house,79,3.39,3 Options,4.8,Japan,Yami,Bread,25,100,85
Dorayaki Baked Red Bean Cake Matcha 5pc,shirakiku,5,5.49,3 Options,4.6,Japan,Yami,Bread,25,100,137
Choco Pie Banana 12pck 336g,lotte korea,36,5.49,No,4.4,Korea,Yami,Bread,25,100,137
Honey Jujube Cake 58g,mage's,56,1.83,No,4.8,Mainland China,Yami,Bread,25,100,46
Custard Soft Cup Cake Cream and Egg Yolk Pie 12Packs  276g,orion,224,4.89,No,4.7,Korea,Yami,Bread,25,100,122
Roll Cake Pandan Flavor 240g,fershay,50,2.99,2 Options,4.7,Thailand,Yami,Bread,25,100,75
Choco Pie with Marshmallow Filling 6 Pieces,orion,11,3.69,5 Options,4.5,Korea,Yami,Bread,25,100,92
Durian Cake 300g,maoshanwang,105,3.99,No,4.8,Mainland China,Yami,Bread,25,100,100
EGG YOLK PUFF(4 Mixed Flavors),fortune bakery,3,19.99,No,5.0,United States,Yami,Bread,200,800,3998
Choco Pie Banana 12pcs   444g,orion,41,4.59,No,4.4,Korea,Yami,Bread,25,100,115
Puff Cake 10pcs,douyu,4,11.99,No,4.5,Mainland China,Yami,Bread,25,100,300
Liangkouzi Cheese Milk Sandwish 60g,sunway snack,9,2.99,No,4.6,United States,Yami,Bread,25,100,75
Ice Cream Flavored Cake Cranberry Flavor 100g,yo man,8,3.39,No,4.6,Mainland China,Yami,Bread,25,100,85
Chocolate Baked Cakes 200g,sanseisha,6,5.49,No,4.5,Japan,Yami,Bread,25,100,137
Otona Puchi Choco Cake 51g,bourbon,8,2.29,No,4.9,Japan,Yami,Bread,50,200,115
Dorayaki Taro Flavor 280g,sanhuimaifeng,3,3.59,3 Options,4.3,Mainland China,Yami,Bread,25,100,90
Petit Cheese Crisp12pc,bourbon,6,2.19,No,4.7,Japan,Yami,Bread,50,200,110
Little White Heart Red Raspberry Marble Cake 68g,moranca,6,2.29,7 Options,3.8,Mainland China,Yami,Bread,25,100,57
Baked Soft Cake   - Strawberry 198g,kubota,8,4.29,8 Options,4.1,Japan,Yami,Bread,25,100,107
Sesame Pancake 100g,want want,4,2.99,No,4.5,Taiwan,Yami,Bread,25,100,75
Nagasaki Baked Cake 260g,chikuho,7,5.99,No,3.3,Japan,Yami,Bread,25,100,150
NAGASAKI Castella Matcha 6pc 162g,izumiya,1,10.99,No,5.0,Japan,Yami,Bread,25,100,275
Cheddar Cheese Napoleon Melaleuca 6pcs,tokyo milk cheese factory,2,26.99,No,5.0,Japan,Yami,Bread,25,100,675
Milk Cake 450g,docim,4,10.99,No,4.0,Mainland China,Yami,Bread,25,100,275
Dorayaki Red Bean Flavor 280g,sanhuimaifeng,2,3.59,3 Options,4.0,Mainland China,Yami,Bread,25,100,90
Sweet Bean Cake (Mochi Iri)  198g,tenkei,5,4.99,No,4.2,Japan,Yami,Bread,25,100,125
Funwari Balw White 44g,bourbon,2,1.99,No,3.5,Japan,Yami,Bread,200,800,398
Crostatine Cocoa 240g,gastone lago,1,4.59,4 Options,5.0,New Zealand,Yami,Bread,25,100,115
Chestnut Cake 167g,shiawasedo,2,3.59,No,1.5,Japan,Yami,Bread,25,100,90
Crostatine Cherry 240g,gastone lago,2,4.59,4 Options,3.0,New Zealand,Yami,Bread,25,100,115
Coarse Sugar Castella,chang qi,1,8.99,No,5.0,Japan,Yami,Bread,50,200,450
DXC Mung Bean Cake 360g,dao xiang cun,49,13.99,2 Options,4.6,Mainland China,Yami,Bread,50,200,700
"Toasted Sandwich with Sea Salt Cheese, 86g",moranca,340,3.29,3 Options,4.5,Mainland China,Yami,Bread,25,100,82
Strawberry Puff 65g,imei,157,1.59,2 Options,4.6,Taiwan,Yami,Bread,25,100,40
Pudding Mix Powder 60g,house,52,3.39,3 Options,4.7,Japan,Yami,Bread,50,200,170
Muffin Taro Milk Flavor 96g,master kong,89,2.49,5 Options,4.6,Mainland China,Yami,Bread,25,100,62
Mellow Bean Paste Osmanthus Cake 190g,zhiweiguan,36,8.69,No,4.6,Mainland China,Yami,Bread,25,100,217
Muffin Cholocate Flavor 96g,master kong,82,2.49,5 Options,4.8,Mainland China,Yami,Bread,25,100,62
Custard Cream Cake 500g,daligroup,13,5.99,2 Options,4.5,Mainland China,Yami,Bread,25,100,150
HOSODA Milk Baum Kuchen 80g,hosoda bros,78,2.19,4 Options,4.3,Japan,Yami,Bread,25,100,55
PANPAN Japanese Pancake Taro Flavor 240g,asia foods,26,4.39,No,4.3,Mainland China,Yami,Bread,100,400,439
Choco Pie Green Tea 336g,lotte japan,33,5.99,No,4.8,Japan,Yami,Bread,25,100,150
Walnut Rice Cake 198g,shendacheng,2,11.9,No,5.0,Mainland China,Yami,Bread,25,100,298
New York Cheese Cake 170g,crown,33,4.99,No,4.0,Korea,Yami,Bread,25,100,125
Waffle Cake Yogurt Flavor 270g,haoyoulikids,9,4.99,No,4.7,Mainland China,Yami,Bread,50,200,250
Cream and Egg Yolk Filling Pie 6 Pieces,orion,27,3.69,5 Options,4.7,Korea,Yami,Bread,25,100,92
Cake  Matcha and Soy Milk Flavor  80g,xiu xian nong chang,19,3.09,5 Options,4.6,Mainland China,Yami,Bread,25,100,77
Berry Pie 6 Pieces,orion,20,3.69,5 Options,4.4,Korea,Yami,Bread,25,100,92
Cube Raw Toast Fruit Flavor 240g,lejinji,3,4.59,2 Options,5.0,Mainland China,Yami,Bread,25,100,115
Ohyes Premium Chocolate Coated Cake With Chocolate Filling 6Pcs,haitai,27,1.89,No,4.4,Korea,Yami,Bread,50,200,95
Half Baked Soy Milk Mini Cake 190g,chikodo,82,6.99,No,4.4,Mainland China,Yami,Bread,300,1200,2097
