Title,Title_link,Price,productDate___3-wQt,count___1LWwo,unit_info___32SjE,Headline,Field1,Field2,Field3
"Songshan Fangdan Crisp Crust, Spicy Crawfish Flavor 120 g",https://www.sayweee.com/en/product/Songshan-Fangdan-Crisp-Crust-Spicy-Crawfish-Flavor/31536,$1.99,100+ Sold,100+ Sold,,"Songshan Fangdan Crisp Crust, Spicy Crawfish Flavor",(53),Mainland China,SONGSHAN
Nabati Wafer Cheese Flavor 320 g,https://www.sayweee.com/en/product/Nabati-Wafer-Cheese-Flavor/84517,$6.59,700+ Sold,700+ Sold,,Nabati Wafer Cheese Flavor,(2),Indonesia,
Bourbon Chocolate Elise White 2.01 oz,https://www.sayweee.com/en/product/Bourbon-Chocolate-Elise-White/23905,$2.39,400+ Sold,400+ Sold,$1.18/oz,Bourbon Chocolate Elise White,(2),Japan,BOURBON
Oreo Chocolate Sandwich Cookies 14.3 oz,https://www.sayweee.com/en/product/Oreo-Chocolate-Sandwich-Cookies/47708,$6.19,100+ Sold,100+ Sold,$0.43/oz,Oreo Chocolate Sandwich Cookies,(3),United States,
Lotte Strawberry Cream Cake 6 pcs 192 g,https://www.sayweee.com/en/product/Lotte-Strawberry-Cream-Cake-6-pcs/85323,$3.99,200+ Sold,200+ Sold,,Lotte Strawberry Cream Cake 6 pcs,(7),South Korea,Lotte
Michel et Augustin Milk Chocolate & Caramel Cookie Squares 4.9 oz,https://www.sayweee.com/en/product/Michel-et-Augustin-Milk-Chocolate---Caramel-Cookie-Squares/5253,$5.19,,,$1.05/oz,Michel et Augustin Milk Chocolate & Caramel Cookie Squares,(4),United States,
Glico Pretz Apple Biscuit Stick 1.19 oz,https://www.sayweee.com/en/product/Glico-Pretz-Apple-Biscuit-Stick/85520,$1.79,300+ Sold,300+ Sold,$1.50/oz,Glico Pretz Apple Biscuit Stick,,Thailand,Glico
"Mini Roll Cake, Milk Flavor  70 g",https://www.sayweee.com/en/product/Mini-Roll-Cake--Milk-Flavor-/9691,$2.49,200+ Sold,200+ Sold,$0.03/g,"Mini Roll Cake, Milk Flavor",(4),Mainland China,
Ritz Original Crackers 13.7 oz,https://www.sayweee.com/en/product/Ritz-Original-Crackers/47723,$4.49,50+ Sold,50+ Sold,$0.32/oz,Ritz Original Crackers,(11),United States,
Lotte Koala's March Mango Cream Biscuits Family Size 6.89 oz,https://www.sayweee.com/en/product/Lotte-Koala-s-March-Mango-Cream-Biscuits-Family-Size/85204,$5.99,50+ Sold,50+ Sold,$0.86/oz,Lotte Koala's March Mango Cream Biscuits Family Size,,Thailand,Lotte
Gamesa Emperador Chocolate Crème Cookies 14.34 oz,https://www.sayweee.com/en/product/Gamesa-Emperador-Chocolate-Crme-Cookies/84827,$3.69,50+ Sold,50+ Sold,$0.25/oz,Gamesa Emperador Chocolate Crème Cookies,(4),United States,GAMESA
"Thinsters Toasted Cookie Thins, Toasted Coconut 4 oz",https://www.sayweee.com/en/product/Thinsters-Toasted-Cookie-Thins--Toasted-Coconut/46151,$3.99,50+ Sold,50+ Sold,$0.99/oz,"Thinsters Toasted Cookie Thins, Toasted Coconut",,United States,
"Thinsters Toasted Cookie Thins, Toasted Coconut 4 oz",https://www.sayweee.com/en/product/Thinsters-Toasted-Cookie-Thins--Toasted-Coconut/46151,$3.99,50+ Sold,50+ Sold,$0.99/oz,"Thinsters Toasted Cookie Thins, Toasted Coconut",,United States,
Hello Kitty Earl Grey Cookies 78 g,https://www.sayweee.com/en/product/Hello-Kitty-Earl-Grey-Cookies/85614,$5.49,300+ Sold,300+ Sold,$0.07/g,Hello Kitty Earl Grey Cookies,(8),Taiwan,
Lundberg Family Farms Organic Lightly Salted Brown Rice Cakes 8.5 oz,https://www.sayweee.com/en/product/Lundberg-Family-Farms-Organic-Lightly-Salted-Brown-Rice-Cakes/5247,$3.99,50+ Sold,50+ Sold,$0.46/oz,Lundberg Family Farms Organic Lightly Salted Brown Rice Cakes,(3),United States,
"Siete Cookie, Mexican Wedding 4.5 oz",https://www.sayweee.com/en/product/Siete-Cookie--Mexican-Wedding/14860,$4.79,,,$1.06/oz,Weee!,(3),United States,
"Blue Diamond Almond Nut-Thins Cracker Crisps, Hint of Sea Salt 4.25 oz",https://www.sayweee.com/en/product/Blue-Diamond-Almond-Nut-Thins-Cracker-Crisps--Hint-of-Sea-Salt/80224,$4.49,50+ Sold,50+ Sold,$1.05/oz,"Blue Diamond Almond Nut-Thins Cracker Crisps, Hint of Sea Salt",(2),United States,BLUE DIAMOND
Nabisco Premium Original Saltine Crackers 16 oz,https://www.sayweee.com/en/product/Nabisco-Premium-Original-Saltine-Crackers/47716,$4.49,,,$0.28/oz,Nabisco Premium Original Saltine Crackers,(6),United States,
Siete Mexican Chocolate Cookie 4.5 oz,https://www.sayweee.com/en/product/Siete-Mexican-Chocolate-Cookie/14861,$4.79,,,$1.06/oz,Siete Mexican Chocolate Cookie,(1),United States,SIETE
Wakasaya Hokkaido Milk Cookies 1.76 oz,https://www.sayweee.com/en/product/Wakasaya-Hokkaido-Milk-Cookies/13974,$5.29,50+ Sold,50+ Sold,$3.00/oz,Wakasaya Hokkaido Milk Cookies,(1),Japan,
"Glutinous Rice Rolls, Assorted Flavors 500 g",https://www.sayweee.com/en/product/Glutinous-Rice-Rolls--Assorted-Flavors/17626,$6.29,200+ Sold,200+ Sold,,"Glutinous Rice Rolls, Assorted Flavors",(22),Mainland China,
MadeGood Foods Chocolate Chip Crispy Squares 4.68 oz,https://www.sayweee.com/en/product/MadeGood-Foods-Chocolate-Chip-Crispy-Squares/4751,$3.49,50+ Sold,50+ Sold,$0.74/oz,MadeGood Foods Chocolate Chip Crispy Squares,(8),United States,
"Thinsters Toasted Cookie Thins, Key Lime Pie 4 oz",https://www.sayweee.com/en/product/Thinsters-Toasted-Cookie-Thins--Key-Lime-Pie/46150,$3.99,,,$0.99/oz,"Thinsters Toasted Cookie Thins, Key Lime Pie",(1),United States,
Sonoma Creamery Parmesan Crisps 2.25 oz,https://www.sayweee.com/en/product/Sonoma-Creamery-Parmesan-Crisps/46148,$4.69,,,$2.08/oz,Sonoma Creamery Parmesan Crisps,(3),United States,
"Ottogi Ppushu Ppushu Noodle Snack, Spicy Rice Cake Flavor 3.18 oz",https://www.sayweee.com/en/product/Ottogi-Ppushu-Ppushu-Noodle-Snack--Spicy-Rice-Cake-Flavor/82773,$0.99,300+ Sold,300+ Sold,$0.31/oz,"Ottogi Ppushu Ppushu Noodle Snack, Spicy Rice Cake Flavor",(2),South Korea,Ottogi
LONGKANG Crispy Pizza Crackers  25 g,https://www.sayweee.com/en/product/LONGKANG-Crispy-Pizza-Crackers-/13088,$0.59,500+ Sold,500+ Sold,,LONGKANG Crispy Pizza Crackers,(8),Mainland China,
"Marinela Barritas De Fresa En Caja, Strawberry Bars 3.88 oz",https://www.sayweee.com/en/product/Marinela-Barritas-De-Fresa-En-Caja--Strawberry-Bars/44638,$1.99,100+ Sold,100+ Sold,$0.51/oz,"Marinela Barritas De Fresa En Caja, Strawberry Bars",(1),Mexico,MARINELA
"Meiji Lucky Stick Biscuits, Strawberry Cream Covered 45 g",https://www.sayweee.com/en/product/Meiji-Lucky-Stick-Biscuits--Strawberry-Cream-Covered/19011,$2.59,500+ Sold,500+ Sold,$0.05/g,"Meiji Lucky Stick Biscuits, Strawberry Cream Covered",(5),Indonesia,MEIJI
[BOURBON] Crispy Crepe Cookies 93g,https://www.sayweee.com/en/product/BOURBON-Crispy-Crepe-Cookies-93g-/98738,$1.99,100+ Sold,100+ Sold,,[BOURBON] Crispy Crepe Cookies 93g,(58),,
Bourbon  x Demon Slayer Petite Kimetsu Edamame Umashio  1.3 oz,https://www.sayweee.com/en/product/Bourbon--x-Demon-Slayer-Petite-Kimetsu-Edamame-Umashio-/82733,$1.59,700+ Sold,700+ Sold,$1.22/oz,Bourbon  x Demon Slayer Petite Kimetsu Edamame Umashio,(4),Japan,BOURBON
Lotte Binch Chocolate Covered Biscuit 204 g,https://www.sayweee.com/en/product/Lotte-Binch-Chocolate-Covered-Biscuit/29488,$4.99,200+ Sold,200+ Sold,,Lotte Binch Chocolate Covered Biscuit,(6),South Korea,Lotte
Gamesa Florentinas Strawberry Cookies 11.1 oz,https://www.sayweee.com/en/product/Gamesa-Florentinas-Strawberry-Cookies/22454,$2.99,50+ Sold,50+ Sold,$0.26/oz,Gamesa Florentinas Strawberry Cookies,(1),Mexico,GAMESA
"Haitai Home Run Ball Chocolate Biscuits, 1 bag 146 g",https://www.sayweee.com/en/product/Haitai-Home-Run-Ball-Chocolate-Biscuits--1-bag/1648,$3.99,50+ Sold,50+ Sold,,"Haitai Home Run Ball Chocolate Biscuits, 1 bag",(10),South Korea,HAITAI
LOTTE Margaret Cookie  264 g,https://www.sayweee.com/en/product/LOTTE-Margaret-Cookie-/29335,$5.49,100+ Sold,100+ Sold,,LOTTE Margaret Cookie,(10),South Korea,Lotte
Winter Melty Pocky Chocolate cream covered biscuit sticks 6P 4.62 oz,https://www.sayweee.com/en/product/Winter-Melty-Pocky-Chocolate-cream-covered-biscuit-sticks-6P/80496,$4.69,100+ Sold,100+ Sold,$1.01/oz,Winter Melty Pocky Chocolate cream covered biscuit sticks 6P,(2),Japan,Glico
Jack 'n Jill Chocolate Pretzel Sticks 40 g,https://www.sayweee.com/en/product/Jack--n-Jill-Chocolate-Pretzel-Sticks/84173,$0.59,200+ Sold,200+ Sold,,Jack 'n Jill Chocolate Pretzel Sticks,,Philippines,JACK 'n JILL
Richy Dorati Biscuit Stick Butter Milk Flavor 1.4 oz,https://www.sayweee.com/en/product/Richy-Dorati-Biscuit-Stick-Butter-Milk-Flavor/86309,$0.99,200+ Sold,200+ Sold,$0.70/oz,Richy Dorati Biscuit Stick Butter Milk Flavor,,Vietnam,
Marky's Buttered Biscotti 200 g,https://www.sayweee.com/en/product/Marky-s-Buttered-Biscotti/16338,$4.49,,,,Marky's Buttered Biscotti,(2),Philippines,
Haitai Strawberry Wafer Biscuit 50 g,https://www.sayweee.com/en/product/Haitai-Strawberry-Wafer-Biscuit/86286,$1.29,300+ Sold,300+ Sold,,Haitai Strawberry Wafer Biscuit,(1),South Korea,HAITAI
"Stikko Wafer Sticks Ube, Purple Yam Flavor 14.11 oz",https://www.sayweee.com/en/product/Stikko-Wafer-Sticks-Ube--Purple-Yam-Flavor/5448,$4.19,50+ Sold,50+ Sold,$0.29/oz,"Stikko Wafer Sticks Ube, Purple Yam Flavor",,Indonesia,STIKKO
Crispi Roll 12 Grain Non-Fried Energy Snack  180 g,https://www.sayweee.com/en/product/Crispi-Roll-12-Grain-Non-Fried-Energy-Snack-/31842,$2.99,50+ Sold,50+ Sold,,Crispi Roll 12 Grain Non-Fried Energy Snack,(4),Taiwan,
Lotte Kancho Biscuits Filled with Chocolate 168 g,https://www.sayweee.com/en/product/Lotte-Kancho-Biscuits-Filled-with-Chocolate/34846,$4.49,50+ Sold,50+ Sold,,Lotte Kancho Biscuits Filled with Chocolate,(6),South Korea,Lotte
Choco Mani Peanut Choco Bars Sakto Size 228 g,https://www.sayweee.com/en/product/Choco-Mani-Peanut-Choco-Bars-Sakto-Size/14386,$1.99,50+ Sold,50+ Sold,,Choco Mani Peanut Choco Bars Sakto Size,(3),Philippines,
Gamesa Marias Cookies Box  19.7 oz,https://www.sayweee.com/en/product/Gamesa-Marias-Cookies-Box-/55101,$3.59,50+ Sold,50+ Sold,$0.18/oz,Gamesa Marias Cookies Box,(7),Mexico,GAMESA
Haitai Baked Potato Biscuit Sticks 6pk 162 g,https://www.sayweee.com/en/product/Haitai-Baked-Potato-Biscuit-Sticks-6pk/74824,$5.99,50+ Sold,50+ Sold,$0.03/g,Haitai Baked Potato Biscuit Sticks 6pk,(9),South Korea,HAITAI
Morinaga Milk Chocolate Sticks 64.9 g,https://www.sayweee.com/en/product/Morinaga-Milk-Chocolate-Sticks/50775,$3.99,,,$0.06/g,Morinaga Milk Chocolate Sticks,(18),Japan,Morinaga
Lotte Pepero Choco Filled Biscuits 50 g,https://www.sayweee.com/en/product/Lotte-Pepero-Choco-Filled-Biscuits/83456,$1.49,100+ Sold,100+ Sold,,Lotte Pepero Choco Filled Biscuits,(2),South Korea,Lotte
"Aji Jumping Sugar Macaron Biscuits, Strawberry Flavor 133 g",https://www.sayweee.com/en/product/Aji-Jumping-Sugar-Macaron-Biscuits--Strawberry-Flavor/83893,$3.39,50+ Sold,50+ Sold,,"Aji Jumping Sugar Macaron Biscuits, Strawberry Flavor",(3),Mainland China,AJI
Canelitas Cinnamon Cookies 8.82 oz,https://www.sayweee.com/en/product/Canelitas-Cinnamon-Cookies/44639,$2.49,50+ Sold,50+ Sold,$0.28/oz,Canelitas Cinnamon Cookies,(1),Mexico,BIMBO
Bellie Lemon Flavored Cream Sandwich 190 g,https://www.sayweee.com/en/product/Bellie-Lemon-Flavored-Cream-Sandwich/86639,$2.59,50+ Sold,50+ Sold,,Bellie Lemon Flavored Cream Sandwich,,Malaysia,
Golden Fish Crackers ORIGINAL 200 g,https://www.sayweee.com/en/product/Golden-Fish-Crackers-ORIGINAL/14827,$2.79,,,,Golden Fish Crackers ORIGINAL,(2),Philippines,
"MACARON Chocolate Cookies, Matcha Mousse And Chocolate Flavor 150 g",https://www.sayweee.com/en/product/MACARON-Chocolate-Cookies--Matcha-Mousse-And-Chocolate-Flavor/34266,$2.49,12 Left,12 Left,,"MACARON Chocolate Cookies, Matcha Mousse And Chocolate Flavor",(1),Mainland China,
No Brand Cookies & Cream Chocolate Bar  240 g,https://www.sayweee.com/en/product/No-Brand-Cookies---Cream-Chocolate-Bar-/48259,$3.19,50+ Sold,50+ Sold,,No Brand Cookies & Cream Chocolate Bar,(1),South Korea,
Lotte Kancho Choco Biscuit  42 g,https://www.sayweee.com/en/product/Lotte-Kancho-Choco-Biscuit-/44896,$1.49,50+ Sold,50+ Sold,$0.03/g,Lotte Kancho Choco Biscuit,(6),South Korea,Lotte
Magic Melt Ube Otap Puff Pastry Cookie 200 g,https://www.sayweee.com/en/product/Magic-Melt-Ube-Otap-Puff-Pastry-Cookie/5500,$2.99,50+ Sold,50+ Sold,,Magic Melt Ube Otap Puff Pastry Cookie,(7),Philippines,MAGICMELT
Bourbon x Demon Slayer Petit Kimetsu Caramel Cookie 1.72 oz,https://www.sayweee.com/en/product/Bourbon-x-Demon-Slayer-Petit-Kimetsu-Caramel-Cookie/82727,$1.59,100+ Sold,100+ Sold,$0.92/oz,Bourbon x Demon Slayer Petit Kimetsu Caramel Cookie,(2),Japan,
Ginbis Simi Choco Snack 4pk 1.83 oz,https://www.sayweee.com/en/product/Ginbis-Simi-Choco-Snack-4pk/79764,$2.99,50+ Sold,50+ Sold,$1.63/oz,Ginbis Simi Choco Snack 4pk,(9),Japan,
Lotte Moncher Dream Cake Fresh Cream 12pk 384 g,https://www.sayweee.com/en/product/Lotte-Moncher-Dream-Cake-Fresh-Cream-12pk/83460,$6.99,100+ Sold,100+ Sold,,Lotte Moncher Dream Cake Fresh Cream 12pk,(1),South Korea,Lotte
Surasang Korea Tofu Snack  120 g,https://www.sayweee.com/en/product/Surasang-Korea-Tofu-Snack-/40510,$2.99,,,,Surasang Korea Tofu Snack,,South Korea,Surasang
"Millet crisp crust, Cumin Flavor  130 g",https://www.sayweee.com/en/product/Millet-crisp-crust--Cumin-Flavor-/83425,$2.09,200+ Sold,200+ Sold,,"Millet crisp crust, Cumin Flavor",(4),Mainland China,Hua Jiao Shi Jia
Jack'n jill Magic Flake Cracker 757 g,https://www.sayweee.com/en/product/Jack-n-jill-Magic-Flake-Cracker/73721,$5.59,50+ Sold,50+ Sold,,Jack'n jill Magic Flake Cracker,(16),Philippines,JACK 'n JILL
Gamesa Sugar Strawberry Wafers 6.7 oz,https://www.sayweee.com/en/product/Gamesa-Sugar-Strawberry-Wafers/55114,$2.19,50+ Sold,50+ Sold,$0.32/oz,Gamesa Sugar Strawberry Wafers,(6),Mexico,
ORION CHOCO BOY 2 Packs 2.52 oz,https://www.sayweee.com/en/product/ORION-CHOCO-BOY-2-Packs/86186,$1.99,,,$0.78/oz,ORION CHOCO BOY 2 Packs,,South Korea,
[mincher] Chitchat Snack (Scallion) 200g x 1bag 200 g,https://www.sayweee.com/en/product/mincher-Chitchat-Snack-Scallion-200g-x-1bag/3478,$3.49,,,,[mincher] Chitchat Snack (Scallion) 200g x 1bag,(20),Taiwan,
"Fortune Bakery Chewy Puff with Mochi, Durian and Mango  330 g",https://www.sayweee.com/en/product/Fortune-Bakery-Chewy-Puff-with-Mochi--Durian-and-Mango-/10126,$6.89,50+ Sold,50+ Sold,,"Fortune Bakery Chewy Puff with Mochi, Durian and Mango",(8),United States,
Bellie Cheese Flavored Cream Sandwich 190 oz,https://www.sayweee.com/en/product/Bellie-Cheese-Flavored-Cream-Sandwich/86688,$2.59,50+ Sold,50+ Sold,,Bellie Cheese Flavored Cream Sandwich,,Malaysia,
Gamesa Arcoiris Marshmallow Cookies 15.5 oz,https://www.sayweee.com/en/product/Gamesa-Arcoiris-Marshmallow-Cookies/71746,$4.59,50+ Sold,50+ Sold,$0.29/oz,Gamesa Arcoiris Marshmallow Cookies,(3),Mexico,
Sunflower Crackers Mango Cream Sandwich 190 g,https://www.sayweee.com/en/product/Sunflower-Crackers-Mango-Cream-Sandwich/15469,$1.79,50+ Sold,50+ Sold,,Sunflower Crackers Mango Cream Sandwich,(7),Philippines,
"Stikko Wafer Sticks, Chocolate Flavor  14.11 oz",https://www.sayweee.com/en/product/Stikko-Wafer-Sticks--Chocolate-Flavor-/5452,$4.99,50+ Sold,50+ Sold,$0.35/oz,"Stikko Wafer Sticks, Chocolate Flavor",(2),Indonesia,STIKKO
"Kangshifu Mini Puff, Chocolate Filling 60 g",https://www.sayweee.com/en/product/Kangshifu-Mini-Puff-Chocolate-Filling/25948,$1.79,100+ Sold,100+ Sold,,"Kangshifu Mini Puff, Chocolate Filling",(18),Mainland China,Master Kong
TRESBON PREMIUM UBE CRACKER 240 g,https://www.sayweee.com/en/product/TRESBON-PREMIUM-UBE-CRACKER/22501,$3.99,50+ Sold,50+ Sold,,TRESBON PREMIUM UBE CRACKER,(5),Indonesia,
LOTTE Pie Rich Chocolate Flavor Pastry Cookie 69 g,https://www.sayweee.com/en/product/LOTTE-Pie-Rich-Chocolate-Flavor-Pastry-Cookie/18936,$4.29,50+ Sold,50+ Sold,$0.06/g,LOTTE Pie Rich Chocolate Flavor Pastry Cookie,(3),Japan,Lotte
LOTTE Pie Rich Chocolate Flavor Pastry Cookie 69 g,https://www.sayweee.com/en/product/LOTTE-Pie-Rich-Chocolate-Flavor-Pastry-Cookie/18936,$4.29,50+ Sold,50+ Sold,$0.06/g,LOTTE Pie Rich Chocolate Flavor Pastry Cookie,(3),Japan,Lotte
"Lotte Chic-Choc Original, Big Pack 12pcs 180 g",https://www.sayweee.com/en/product/Lotte-Chic-Choc-Original--Big-Pack-12pcs/29489,$5.99,,,$0.03/g,"Lotte Chic-Choc Original, Big Pack 12pcs",(4),South Korea,Lotte
"Haitai Cream Wafer, Original Flavor 50 g",https://www.sayweee.com/en/product/Haitai-Cream-Wafer--Original-Flavor/86588,$1.29,200+ Sold,200+ Sold,,"Haitai Cream Wafer, Original Flavor",(2),South Korea,HAITAI
[Orion] Kosomi Sesame Biscuits 9.86oz 1 each,https://www.sayweee.com/en/product/-Orion--Kosomi-Sesame-Biscuits-9-86oz/98614,$4.99,50+ Sold,50+ Sold,$4.99/each,[Orion] Kosomi Sesame Biscuits 9.86oz,(9),South Korea,
Regent King Crab Flavored Crackers 85 g,https://www.sayweee.com/en/product/Regent-King-Crab-Flavored-Crackers/37807,$1.99,,,,Regent King Crab Flavored Crackers,(4),Philippines,Regent
Tresbon Premium Cheese Crackers 240 g,https://www.sayweee.com/en/product/Tresbon-Premium-Cheese-Crackers/35383,$3.99,,,,Tresbon Premium Cheese Crackers,,Indonesia,Tresbon
Angelina Plain Otap in Tub 19.4 oz,https://www.sayweee.com/en/product/Angelina-Plain-Otap-in-Tub/9867,$6.49,50+ Sold,50+ Sold,$0.33/oz,Angelina Plain Otap in Tub,(10),Philippines,
Magic Flakes Creams Cheese 9.88 oz,https://www.sayweee.com/en/product/Magic-Flakes-Creams-Cheese/86247,$1.99,,,$0.20/oz,Magic Flakes Creams Cheese,,Philippines,JACK 'n JILL
Richy Dorati Biscuit Stick Cheese Flavor 1.4 oz,https://www.sayweee.com/en/product/Richy-Dorati-Biscuit-Stick-Cheese-Flavor/86310,$0.99,200+ Sold,200+ Sold,$0.70/oz,Richy Dorati Biscuit Stick Cheese Flavor,,Vietnam,
Pinky's Goodies Assorted Butterscotch Bars 7.6 oz,https://www.sayweee.com/en/product/Pinky-s-Goodies-Assorted-Butterscotch-Bars/50518,$6.49,,,$0.85/oz,Pinky's Goodies Assorted Butterscotch Bars,,Philippines,
Gamesa Barra De Coco Coconut Cookies 15.5 oz,https://www.sayweee.com/en/product/Gamesa-Barra-De-Coco-Coconut-Cookies/71751,$4.19,,,$0.27/oz,Gamesa Barra De Coco Coconut Cookies,(2),Mexico,
"Sunflower Butter Cream, Leche Flan Flavor 250 g",https://www.sayweee.com/en/product/Sunflower-Butter-Cream--Leche-Flan-Flavor/86774,$3.49,,,,"Sunflower Butter Cream, Leche Flan Flavor",,Philippines,
"Aji Jumping Sugar Macaron Biscuits, Cream Flavor 133 g",https://www.sayweee.com/en/product/Aji-Jumping-Sugar-Macaron-Biscuits--Cream-Flavor/83894,$3.39,,,,"Aji Jumping Sugar Macaron Biscuits, Cream Flavor",(1),Mainland China,AJI
FuYiShan Lemon Crackers  200 g,https://www.sayweee.com/en/product/FuYiShan-Lemon-Crackers-/6480,$4.99,50+ Sold,50+ Sold,,FuYiShan Lemon Crackers,(75),Taiwan,
Hsin Tung Yang Grain Snack with Mango 180 g,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Grain-Snack-with-Mango/4855,$5.39,50+ Sold,50+ Sold,,Hsin Tung Yang Grain Snack with Mango,(19),Taiwan,HSIN TUNG YANG
Angelina Mamon Tostado in Plastic Tub 15.87 oz,https://www.sayweee.com/en/product/Angelina-Mamon-Tostado-in-Plastic-Tub/9169,$8.79,50+ Sold,50+ Sold,$0.55/oz,Angelina Mamon Tostado in Plastic Tub,(2),Philippines,
Lotte Choco Pie Banana Flavor 12pk 336 g,https://www.sayweee.com/en/product/Lotte-Choco-Pie-Banana-Flavor-12pk/29481,$4.49,100+ Sold,"100+ Sold,1 Left",,Lotte Choco Pie Banana Flavor 12pk,(9),South Korea,Lotte
Parle Monaco Classic Crackers 63.3 g,https://www.sayweee.com/en/product/Parle-Monaco-Classic-Crackers/27635,$0.79,,,,Parle Monaco Classic Crackers,(1),India,
Franzzi Matcha Chocolate Cookies 126 g,https://www.sayweee.com/en/product/Franzzi-Matcha-Chocolate-Cookies/77743,$3.59,,,,Franzzi Matcha Chocolate Cookies,(5),Mainland China,FRANZZI
LOTTE Pepero Crunky  39 g,https://www.sayweee.com/en/product/LOTTE-Pepero-Crunky-/34518,$1.99,100+ Sold,100+ Sold,$0.05/g,LOTTE Pepero Crunky,(9),South Korea,Lotte
Lotte Pepero Almond Biscuit Stick 8pcs 296 g,https://www.sayweee.com/en/product/Lotte-Pepero-Almond-Biscuit-Stick-8pcs/85321,$11.99,,,$0.04/g,Lotte Pepero Almond Biscuit Stick 8pcs,(1),South Korea,Lotte
Elise Choco Cream and White Cream Wafers 5.57 oz,https://www.sayweee.com/en/product/Elise-Choco-Cream-and-White-Cream-Wafers/98928,$4.99,50+ Sold,50+ Sold,$0.89/oz,Elise Choco Cream and White Cream Wafers,(17),Japan,BOURBON
Fibisco Chocolate Chip Cookies 200 g,https://www.sayweee.com/en/product/Fibisco-Chocolate-Chip-Cookies/42163,$1.99,,,,Fibisco Chocolate Chip Cookies,(1),Philippines,Fibisco
Gamesa Lonchera Emperador Assorted Cookies 15.3 oz,https://www.sayweee.com/en/product/Gamesa-Lonchera-Emperador-Assorted-Cookies/86266,$3.99,50+ Sold,50+ Sold,$0.26/oz,Gamesa Lonchera Emperador Assorted Cookies,(1),Mexico,GAMESA
Sir Norman Baker Turones De Pinipig 245 g,https://www.sayweee.com/en/product/Sir-Norman-Baker-Turones-De-Pinipig/84185,$3.69,,,,Sir Norman Baker Turones De Pinipig,,Philippines,
Marky's Ugoy Ugoy Sugar Coated Biscuit 150 g,https://www.sayweee.com/en/product/Marky-s-Ugoy-Ugoy-Sugar-Coated-Biscuit/16334,$3.49,,,,Marky's Ugoy Ugoy Sugar Coated Biscuit,(2),Philippines,
"Maruka Fried Squid Snack, Setouchi Lemon Flavor 80 g",https://www.sayweee.com/en/product/Maruka-Fried-Squid-Snack--Setouchi-Lemon-Flavor/22051,$5.29,50+ Sold,50+ Sold,$0.06/g,"Maruka Fried Squid Snack, Setouchi Lemon Flavor",(8),Japan,
MIGA Pine Nuts Tofu Snack 110 g,https://www.sayweee.com/en/product/MIGA-Pine-Nuts-Tofu-Snack/33162,$3.59,50+ Sold,50+ Sold,$0.03/g,MIGA Pine Nuts Tofu Snack,(15),South Korea,
"Deka Wafer Roll, Choco Choco Flavor 12.7 oz",https://www.sayweee.com/en/product/Deka-Wafer-Roll--Choco-Choco-Flavor/46544,$3.99,50+ Sold,50+ Sold,$0.31/oz,"Deka Wafer Roll, Choco Choco Flavor",(1),Indonesia,
Crown Saltine Crackers 280 g,https://www.sayweee.com/en/product/Crown-Saltine-Crackers/22465,$3.69,200+ Sold,200+ Sold,,Crown Saltine Crackers,(32),South Korea,
Lotte Butter Coconut Sweet Biscuit 300 g,https://www.sayweee.com/en/product/Lotte-Butter-Coconut-Sweet-Biscuit/29485,$5.99,50+ Sold,50+ Sold,,Lotte Butter Coconut Sweet Biscuit,(4),South Korea,Lotte
"Paoba Cracker, Tomato Flavor 50 g",https://www.sayweee.com/en/product/Paoba-Cracker--Tomato-Flavor/48510,$1.99,100+ Sold,100+ Sold,$0.03/g,"Paoba Cracker, Tomato Flavor",,Mainland China,
Royal Danish Butter Cookies 16 oz,https://www.sayweee.com/en/product/Royal-Danish-Butter-Cookies/41027,$13.99,,,$0.87/oz,Royal Danish Butter Cookies,(6),Indonesia,
Nomura Millet Caramel Biscuits 110 g,https://www.sayweee.com/en/product/Nomura-Millet-Caramel-Biscuits/89147,$2.99,200+ Sold,200+ Sold,,Nomura Millet Caramel Biscuits,(16),Japan,Nomura
Franzzi Yogurt Chocolate Cookies 126 g,https://www.sayweee.com/en/product/Franzzi-Yogurt-Chocolate-Cookies/77760,$3.59,100+ Sold,"100+ Sold,7 Left",,Franzzi Yogurt Chocolate Cookies,(18),Mainland China,FRANZZI
Lotte Moncher Dream Cake Cacao 12pk 384 g,https://www.sayweee.com/en/product/--Lotte-Moncher-Dream-Cake-Cacao-12pk/83458,$6.99,100+ Sold,100+ Sold,,Lotte Moncher Dream Cake Cacao 12pk,,South Korea,Lotte
Lotte Pepero Crunchy Chocolate Biscuit Stick(39g*8) 312 g,https://www.sayweee.com/en/product/Lotte-Pepero-Crunchy-Chocolate-Biscuit-Stick-39g-8-/85324,$6.69,,,,Lotte Pepero Crunchy Chocolate Biscuit Stick(39g*8),(2),South Korea,Lotte
"Unico Lava Bites Cookies, Strawberry Filling 200 g",https://www.sayweee.com/en/product/Unico-Lava-Bites-Cookies-Strawberry-Filling/62513,$5.29,,,,"Unico Lava Bites Cookies, Strawberry Filling",(6),Malaysia,
Want Want Assorted Rice Crackers Gift 460 g,https://www.sayweee.com/en/product/Want-Want-Assorted-Rice-Crackers-Gift/82309,$15.99,50+ Sold,50+ Sold,$0.03/g,Want Want Assorted Rice Crackers Gift,,Mainland China,WANT WANT
