Product_Name,Price,Sold_Weekly,Origin,Brand,Option,Rate,Sold_Monthly,Weekly_Revenue,Platform,Category,Reviews
Tacha Master Bubble Milk Tea Taro Pastry 6pcs 300 g,28.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,40
O-Nong Little Taro Pastries 390 g,39.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,14
Hapi Japanese Pudding 3pk 8.46 oz,2.49,1000,Japan,Unclear,Unclear,Unclear,4000,2490,Weee,Pastries,848
"Ao Kun Hong Kong Style Tart Crust, Frozen 34pc 520 g",7.99,700,Mainland China,Unclear,Unclear,Unclear,2800,5593,Weee,Pastries,50
GYG Sesame And Peanut Crips Cake 360 g,6.29,600,Mainland China,Unclear,Unclear,Unclear,2400,3774,Weee,Pastries,9
HTY Pineapple Shortcake 200 g,2.49,500,Taiwan,Unclear,Unclear,Unclear,2000,1245,Weee,Pastries,321
Kee Wah Black Sesame Eggroll Wafers 1 each,3.69,200,Hong Kong,Unclear,Unclear,Unclear,800,738,Weee,Pastries,41
Original Taiwanese Sun Cake 600 g,13.79,200,Taiwan,Unclear,Unclear,Unclear,800,2758,Weee,Pastries,253
Meixin Egg Rolls 448 g,22.99,200,Hong Kong,Unclear,Unclear,Unclear,800,4598,Weee,Pastries,124
Hsin Tung Yang Pineapple Shortcake 8pc 200 g,4.49,200,Taiwan,Unclear,Unclear,Unclear,800,898,Weee,Pastries,32
Red Bean Rice Cakes 500g 480 g,3.69,200,Taiwan,Unclear,Unclear,Unclear,800,738,Weee,Pastries,14
DEKA WAFER BITES DURIAN 7 oz,3.29,100,Indonesia,Unclear,Unclear,Unclear,400,329,Weee,Pastries,25
"Ao Kun Wife Cake (Crispy Pie), Frozen 18pc 720 g",12.49,100,Mainland China,Unclear,Unclear,Unclear,400,1249,Weee,Pastries,43
Flour Cake Durian and Rose Flavor 210g 216 g,3.69,100,Mainland China,Unclear,Unclear,Unclear,400,369,Weee,Pastries,5
Vara Foods Tapioca Peal Pudding with Sweet Corn 4 oz,2.49,100,Thailand,Unclear,Unclear,Unclear,400,249,Weee,Pastries,10
"Taiyaki Fish with Red Bean Filling, 10ct 900 g",8.99,50,Mainland China,Unclear,Unclear,Unclear,200,449.5,Weee,Pastries,118
Brown Sugar Rice Cake 480 g,3.49,50,Taiwan,Unclear,Unclear,Unclear,200,174.5,Weee,Pastries,8
Taiwanese Pineapple Soursop Cake  250 g,3.79,50,Taiwan,Unclear,Unclear,Unclear,200,189.5,Weee,Pastries,6
HSUFUCHI Pineapple Sandwich Cookie 184g 184 g,3.99,50,Mainland China,Unclear,Unclear,Unclear,200,199.5,Weee,Pastries,3
Bestore Cheese Soybean Egg Yolk Cakes 165 g,3.89,50,Mainland China,Unclear,Unclear,Unclear,200,194.5,Weee,Pastries,24
Peanut Mochi 120 fl.oz,1.99,50,Taiwan,Unclear,Unclear,Unclear,200,99.5,Weee,Pastries,16
Sa Giang Crab Cracker in Box 7 oz,1.39,50,Vietnam,Unclear,Unclear,Unclear,200,69.5,Weee,Pastries,17
HiWalk Handmade Peanut Egg Rolls 1 each,27.99,50,Taiwan,Unclear,Unclear,Unclear,200,1399.5,Weee,Pastries,23
Jiu Zhen Nan Pineapple Cakes 9pcs 315 g,32.49,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,40
"Shu Shin Bou Egg Rolls, Peanut and Sesame Filling 12pcs 240 g",19.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,10
Golden Coin Almond Agar Mix 7 oz,2.49,0,United States,Unclear,Unclear,Unclear,0,0,Weee,Pastries,13
Durian Cake 218 g,4.19,0,Mainland China,Unclear,Unclear,Unclear,0,0,Weee,Pastries,0
"Kyoshin Daifuku Mochi with Bean Paste, Matcha 8pcs 10.58 oz",5.29,0,Japan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,2
Duen Tai Sweet Potato Taro Cake 500 g,22.89,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,1
Funwari Meijin Kinako Mochi 2.64 oz,4.99,0,Japan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,12
Kee Wah Bakery Pineapple Shortcakes 6ct 300 g,12.19,0,Hong Kong,Unclear,Unclear,Unclear,0,0,Weee,Pastries,2
Cheng Fu Tang Brown Sugar Cookies 360 g,4.99,0,Taiwan,Unclear,Unclear,Unclear,0,0,Weee,Pastries,30
SDC Shanghai Crisp Sesame Pastry with Preserved Vegetables  240 g,6.59,500,Mainland China,Unclear,Unclear,Unclear,2000,3295,Weee,Pastries,20
D-Plus Hokkaido Cream Pastry Roll 1 each,2.29,400,Japan,Unclear,Unclear,Unclear,1600,916,Weee,Pastries,440
Green Onion Crisp Pastry 20pcs 1 each,38.99,300,Taiwan,Unclear,Unclear,Unclear,1200,11697,Weee,Pastries,140
