Product_Name,Reviews,Price,Option,Origin,Rate,Platform,Category,Sold_Weekly,Sold_Monthly,Weekly_Revenue
Peach Mango Drink 1.5L,0,6.89,No,Korea,0,Yami,Juice,500,2000,3445
Energy Drink 100ml,14,0.99,No,Korea,4.5,Yami,Juice,200,800,198
SUNTORY NACHAN APPLE 50.72floz,0,6.49,No,Japan,0,Yami,Juice,200,800,1298
Black Bean Drink 15g*30,31,14.29,2 Options,United States,4.8,Yami,Juice,25,100,357
DaHongPao BoBa Milk Tea 83g,9,3.99,3 Options,Mainland China,4.6,Yami,Juice,200,800,798
Sorbet Lemon Cola 80ml*4,2,5.49,No,Taiwan,4,Yami,Juice,1000,4000,5490
Grass Jelly Drink 315ml,13,1.49,No,Taiwan,4.4,Yami,Juice,25,100,37
Plum Drink 250mlx6pk,1,5.29,No,Mainland China,5,Yami,Juice,200,800,1058
Strawberry Naturally & Artificially Flavored Non Carbonated Soft Drink 1L,5,5.29,No,Japan,4.4,Yami,Juice,25,100,132
Drink with Peach and Oolong Flavor 500ml,0,1.89,No,Mainland China,0,Yami,Juice,200,800,378
Tea Jasmine 2LT,6,4.99,No,Japan,5,Yami,Juice,25,100,125
Plum Wine Non-alcohol 280ml,71,3.99,No,Japan,4.5,Yami,Juice,25,100,100
WANTWANT Smoothie Strawberry & Blueberry Yogurt Flavor 320ml,5,4.64,No,Taiwan,4.6,Yami,Juice,1000,4000,4640
White Peach Black Tea 500ml,2,1.89,No,United States,5,Yami,Juice,300,1200,567
Aloe- Melon Soft Drink 500ml,11,1.69,6 Options,Korea,4.6,Yami,Juice,200,800,338
Milkis Banana Flavor 250ml,75,1.09,6 Options,Korea,4.7,Yami,Juice,25,100,27
Green Tea Sugar Free Can 340ml,13,1.59,No,Japan,4.9,Yami,Juice,200,800,318
Unsweetened Black Coffee 288ml,19,2.39,No,Japan,4.3,Yami,Juice,25,100,60
Bergamot Lemon Sparkling Water 330ml,0,2.99,No,Mainland China,0,Yami,Juice,200,800,598
CICI Fruit Flavored Drink Orange 258ml,35,1.29,4 Options,Mainland China,4.7,Yami,Juice,25,100,32
Lychee OOlong Tea 500ml,10,1.89,No,United States,4.6,Yami,Juice,200,800,378
Basil Seed Drink Watermelon Flavor 9.8oz,0,1.69,No,Mainland China,0,Yami,Juice,200,800,338
Honeysuckle Peach Sparkling Water 330ml,0,2.99,No,Mainland China,0,Yami,Juice,200,800,598
Basil Seed Drink Lychee Flavor 9.8oz,0,1.69,No,Mainland China,0,Yami,Juice,200,800,338
WEI CHUAN Guava Drink With Pulp 500ml,13,1.49,No,United States,4.7,Yami,Juice,100,400,149
Jasmine Green BoBa Milk Tea 80g,7,3.99,3 Options,Mainland China,3.9,Yami,Juice,100,400,399
Aloe- Pineapple Soft Drink 500ml,12,1.69,6 Options,Korea,4.8,Yami,Juice,200,800,338
Pokka Sapporo Soft Drink Orange Flavor 400ml,17,2.89,No,Mainland China,4.9,Yami,Juice,25,100,72
Soft Drink Natchan Orange 425ml,6,2.49,2 Options,Japan,5,Yami,Juice,200,800,498
Beverage Tea Black Oolong 2LT,2,4.99,No,Japan,5,Yami,Juice,200,800,998
Gogo No Kocha Lemon Tea 500ml,0,2.49,No,Japan,0,Yami,Juice,200,800,498
Yuzu Soda Unsweetened Sparkling Water,10,3.59,4 Options,United States,4.8,Yami,Juice,300,1200,1077
Jelly Soda 300ml,2,2.49,No,Mainland China,4.5,Yami,Juice,200,800,498
Non Carbonated Soft Drink Original 1.5L,4,5.49,No,Japan,5,Yami,Juice,200,800,1098
Yowanai Soda Ume Flavor 350ml,63,2.19,3 Options,Japan,4.3,Yami,Juice,25,100,55
Jujube Honey Tea 550g,8,5.5,No,Taiwan,4.8,Yami,Juice,200,800,1100
Sparkling Ume Water 250ml,15,2.99,4 Options,Japan,4.2,Yami,Juice,25,100,75
Pineapple Flavor Soda 358ml,1,2.99,3 Options,Mainland China,5,Yami,Juice,200,800,598
Lychee Sparkling Water 355ml,39,2.29,4 Options,United States,4.3,Yami,Juice,25,100,57
Yuzu Flavor Sparkling Water Original Flavor 355ml,8,3.59,4 Options,United States,5,Yami,Juice,200,800,718
Citron Honey Tea 550g,8,5.5,No,Taiwan,4.9,Yami,Juice,200,800,1100
VITALON Supau Sport Drink 335ml,3,1.69,No,Taiwan,5,Yami,Juice,200,800,338
Sparkling Mikan Water 250ml,11,2.69,4 Options,Japan,4.4,Yami,Juice,200,800,538
Aloe- Coconut Soft Drink 500ml,5,1.69,6 Options,Korea,4.8,Yami,Juice,200,800,338
Aloe- Mango Soft Drink 500ml,11,1.69,6 Options,Korea,4.7,Yami,Juice,200,800,338
"Mango Sparkling Water, 335ml",18,2.29,4 Options,United States,4.6,Yami,Juice,25,100,57
Strawberry Sparkling Water 355g,2,0.99,6 Options,United States,4.5,Yami,Juice,300,1200,297
Gogo No Kocha Straight Tea 500ml,3,2.49,No,Japan,5,Yami,Juice,200,800,498
High Dietary Fiber Sparkling Tea Mojito Flavor 330ml,6,2.49,3 Options,Mainland China,4.7,Yami,Juice,200,800,498
Dong Ding Oolong Tea Low Sugar  340ml,1,1.09,2 Options,Taiwan,5,Yami,Juice,200,800,218
High Dietary Fiber Water Coconut Flavor 410ml,5,1.74,2 Options,Mainland China,4.8,Yami,Juice,200,800,348
Plum Soda 225ml,1,4.49,No,Mainland China,5,Yami,Juice,200,800,898
Non-alcohol Chardonnay Sparkling Flavor 350ml,30,2.49,3 Options,Japan,4.8,Yami,Juice,25,100,62
"No.18 Black Tea  No Sugar, 490ml",0,2.89,No,Taiwan,0,Yami,Juice,200,800,578
Straight Black Tea No Sugar,4,3.49,No,Japan,5,Yami,Juice,200,800,698
Osamenthas Honey Rice Wine Soda 225ml,2,4.49,No,Mainland China,4.5,Yami,Juice,200,800,898
Sparkling Water Original Flavor 330ml,2,1.49,No,Mainland China,5,Yami,Juice,200,800,298
Soda Fruit Flavor 330ml,3,1.09,2 Options,Mainland China,4.7,Yami,Juice,200,800,218
Black Cherry Sparkling Water 340g,2,0.99,6 Options,United States,5,Yami,Juice,300,1200,297
Blueberry Flavor Drink 235ml,2,1.29,8 Options,Korea,5,Yami,Juice,200,800,258
"Strawberry.Rose,Alk Sprg Water At least 95% Organic 500ml",2,1.89,No,United States,5,Yami,Juice,300,1200,567
Yuzu Drink 16.9floz,0,2.99,No,Japan,0,Yami,Juice,200,800,598
Veggie Shot Jujitsu Yasai 898ml,0,5.99,No,Japan,0,Yami,Juice,500,2000,2995
Peach Naturally Artificially Flavored Non Carbonated Soft Drink 1.5L,8,3.29,No,Japan,4.8,Yami,Juice,200,800,658
Mungbean Drink 240g,2,1.29,No,Indonesia,5,Yami,Juice,25,100,32
Smoked Plum Sparkling Drink 230ml,0,2.49,4 Options,Mainland China,0,Yami,Juice,200,800,498
Yuzu Redshiso&Apple Soda,7,3.59,4 Options,United States,5,Yami,Juice,200,800,718
Soda Orange Flavor 280ml,0,1.99,6 Options,Mainland China,0,Yami,Juice,200,800,398
Unsweetened Green Tea 245ml,5,1.19,No,Japan,4.8,Yami,Juice,25,100,30
Soursop Flavored Drink With Nate De Coco 320ml,2,1.59,No,Thailand,4.5,Yami,Juice,200,800,318
Plum Tea 700ml,13,16.99,No,Korea,4.8,Yami,Juice,50,200,850
Sparkling Water Peach 340g,4,0.99,6 Options,United States,4.8,Yami,Juice,200,800,198
Black Coffee Sugar Free 275ml,6,2.49,No,Japan,4.7,Yami,Juice,200,800,498
Non-Alcoholic Soft Drink 335ml,20,2.49,No,Japan,4.8,Yami,Juice,25,100,62
ALOE Drink Mango Flavor 500ml,11,1.59,3 Options,Korea,4.8,Yami,Juice,200,800,318
Elderflower Rose Natural 750ml,3,7.29,No,United States,4.7,Yami,Juice,200,800,1458
Afternoon Tea Straight Tea 500ml,16,2.99,5 Options,Japan,4.7,Yami,Juice,25,100,75
Starfrunit Drink 150ml,2,10.99,No,Mainland China,5,Yami,Juice,100,400,1099
ALOE Drink Pomegranate Flavor 500ml,4,1.69,3 Options,Korea,4.2,Yami,Juice,200,800,338
Kyoryuchi Cider 11.83oz,1,1.29,No,Indonesia,5,Yami,Juice,25,100,32
Lemon Soda 350ml,6,2.19,No,Japan,4.5,Yami,Juice,25,100,55
Watermelon Sparkling Water 355g,1,0.99,6 Options,United States,5,Yami,Juice,300,1200,297
Yuzu Soda White Peach,13,3.59,4 Options,United States,4.9,Yami,Juice,100,400,359
Jasmine Tea 287g,1,0.89,No,Indonesia,5,Yami,Juice,25,100,22
Juroku Cha Traditional Japanese All Natural 16 Grain And Botanical Tea (Unsweetened and Caffeine Free) 500ml,9,2.29,No,Japan,4.9,Yami,Juice,200,800,458
Sparkling Water Berry Flavor 310ml,10,1.69,No,Mainland China,4.8,Yami,Juice,200,800,338
Unsweetened Dark Green Tea 500ml,41,1.99,8 Options,Japan,4.9,Yami,Juice,25,100,50
VIVIT'S Peach Mix Soda Pop 450ml,7,2.29,No,Japan,4.1,Yami,Juice,25,100,57
Jasmine Tea 25 Sugar 287g,0,1.29,No,Indonesia,0,Yami,Juice,200,800,258
The Meister's Fruits Tea 500ml,8,2.59,No,Japan,4.9,Yami,Juice,200,800,518
Sparkling Water Watermelon 340g,2,0.89,No,United States,4.5,Yami,Juice,300,1200,267
Lychee Soda 225ml,0,4.49,No,Mainland China,0,Yami,Juice,200,800,898
POKKA PAPPORO Oolang Tea NO SUGAR 300ml,13,1.99,No,Unclear,4.5,Yami,Juice,100,400,199
"No.18 Black Tea, 490ml",2,2.89,No,Taiwan,5,Yami,Juice,200,800,578
Golden Barley Tea Drink 500ml,34,1.99,6 Options,Korea,4.9,Yami,Juice,25,100,50
Soft Drink Mango Flavor 124g,6,2.49,2 Options,Korea,5,Yami,Juice,200,800,498
Organic Unsweetened Green Tea 500ml,2,2.59,8 Options,Japan,5,Yami,Juice,200,800,518
Soda Orange Flavor 330ml,10,1.09,2 Options,Mainland China,4.8,Yami,Juice,200,800,218
Dong Ding Oolong Tea Sugar Free 340ml,2,1.09,2 Options,Taiwan,4.5,Yami,Juice,200,800,218
Orange Flavor Soda 358ml,0,2.48,3 Options,Mainland China,0,Yami,Juice,200,800,496
Khanh Hoa Bird's Nest Drink Can 190ml,11,1.59,No,Vietnam,4.5,Yami,Juice,200,800,318
Sparkling Water Passion Fruit 340g,4,0.89,No,United States,3.8,Yami,Juice,200,800,178
Beverage Green Tea Genmal 2L,7,4.99,No,Japan,5,Yami,Juice,25,100,125
Melon  Flavored Drink With Nata De COCO 320ml,7,1.69,14 Options,Thailand,3.9,Yami,Juice,200,800,338
BOSS Unsweetened Black Canned Coffee 185ml,8,2.49,No,Japan,5,Yami,Juice,200,800,498
Soda White Rabbit Flavor 280ml,0,1.99,6 Options,Mainland China,0,Yami,Juice,200,800,398
BOSS Coffee - Rainbow Mountain Blend 6oz,3,2.89,No,Japan,5,Yami,Juice,200,800,578
Coconut Flavored Drink With Nata De COCO 320ml,11,1.69,14 Options,Thailand,3.7,Yami,Juice,200,800,338
"Calamansi Sparkling Water, 355ml",29,2.29,4 Options,United States,4.4,Yami,Juice,25,100,57
Herbal Tea 310ml,4,1.29,No,Mainland China,5,Yami,Juice,200,800,258
High Dietary Fiber Sparkling Tea Grape and Melon Flavor 330ml,8,1.99,3 Options,Mainland China,4.9,Yami,Juice,200,800,398
Sparkling Water Peach Pear Sparkling 355ml,1,0.89,No,United States,5,Yami,Juice,300,1200,267
Mineral Water 555ml,1,2.29,3 Options,United States,5,Yami,Juice,300,1200,687
Daruma Cider10.14oz,3,2.19,No,Japan,4.7,Yami,Juice,200,800,438
Sparkling Ringo Water 250ml,12,2.99,4 Options,Japan,3.8,Yami,Juice,200,800,598
White Cream Soda 11.83oz,2,1.29,No,Japan,4,Yami,Juice,200,800,258
Herbal Tea 310ml,67,1.09,2 Options,Mainland China,4.8,Yami,Juice,25,100,27
Straight Black Tea Low Sugar,2,3.99,No,Japan,5,Yami,Juice,200,800,798
Black Tea With Raspberry  At least 95% Organic 355ml,1,2.29,No,United States,5,Yami,Juice,300,1200,687
Sparkling Water Razz-Cranberry 355ml,3,0.89,No,United States,4,Yami,Juice,200,800,178
High Dietary Fiber Water Peach Flavor 410ml,4,1.49,2 Options,Mainland China,4.8,Yami,Juice,200,800,298
Roasted Green Tea Unsweetened 500ml,21,1.99,8 Options,Japan,4.9,Yami,Juice,25,100,50
Vietnamese Herbal Tea 330ml,3,1.29,No,Vietnam,5,Yami,Juice,200,800,258
Lychee Flavor Soda 358ml,1,2.99,3 Options,Mainland China,5,Yami,Juice,200,800,598
Peach Sparkling Drink 230ml,3,2.49,4 Options,Mainland China,4,Yami,Juice,200,800,498
Demitasse Coffee 4.9oz,1,1.89,No,Japan,5,Yami,Juice,200,800,378
Juzuo Sparkling Drink 230ml,4,2.49,4 Options,Mainland China,5,Yami,Juice,200,800,498
Uji Matcha Green Tea Drink 500ml,4,2.29,No,Japan,4.5,Yami,Juice,200,800,458
Apple Snap Pop  At least 95% Organic 355ml,0,3.19,No,United States,0,Yami,Juice,200,800,638
Tea O-I Ocha Houjicha 2L,5,4.89,No,Japan,5,Yami,Juice,200,800,978
Prebiotic Soda Classic Cola 340g,0,2.89,No,United States,0,Yami,Juice,200,800,578
Sparkling Water Red Wine Flavor 310ml,19,1.69,No,Mainland China,4.8,Yami,Juice,25,100,42
Soft Drink CC Lemon 500ml,2,3.29,No,Japan,4.5,Yami,Juice,200,800,658
Cassia Tora Tea 500ml,26,1.79,3 Options,Korea,4.5,Yami,Juice,25,100,45
Honey Green Tea 310ml,10,0.99,No,Taiwan,4.6,Yami,Juice,200,800,198
Collagen-Infused Water Pomegranate 500ml,2,3.49,No,United States,4,Yami,Juice,200,800,698
Collagen-Infused Water Grapefruit 500ml,1,3.99,No,United States,5,Yami,Juice,200,800,798
Green Plum Tea 500ml,4,1.99,No,Mainland China,4.8,Yami,Juice,200,800,398
Pear Drink 396ml,6,2.89,No,Japan,4.8,Yami,Juice,200,800,578
XPP Meco Cherry & Strawberry Fruit Tea 400ml,53,2.29,5 Options,Mainland China,4.8,Yami,Juice,25,100,57
Sakusaku Kakugiri Ringo Drink 400g,4,2.99,No,Japan,4.5,Yami,Juice,200,800,598
Japanese Matcha Unsweetened Green Tea 470ml USDA Organic,3,2.59,2 Options,Japan,4.7,Yami,Juice,200,800,518
MATCHA LOVE Sweetened Green Tea 155ml,37,1.69,4 Options,Japan,3.9,Yami,Juice,25,100,42
Jyurokucha Mugicha 660ml,1,3.29,No,Japan,5,Yami,Juice,200,800,658
Honey Pomelo Soda 225ml,1,4.49,No,Mainland China,5,Yami,Juice,200,800,898
Soft Drink Melon Flavor 124g,3,2.49,2 Options,Korea,5,Yami,Juice,200,800,498
Black Tea With Lemon 355ml,1,2.29,No,United States,5,Yami,Juice,300,1200,687
Grape Soda 355ml,4,0.99,6 Options,United States,4.2,Yami,Juice,200,800,198
CICI Fruit Flavored Drink Pear 258ml,27,1.09,4 Options,Mainland China,4.6,Yami,Juice,25,100,27
Green Tea No Sugar No Artificial Coloring 330ml,7,1.49,No,Japan,4.6,Yami,Juice,25,100,37
Juices Pure Cranberry At least 95% Organic 946ml,1,13.49,No,United States,5,Yami,Juice,100,400,1349
Soda Peach Flavor 280ml,0,1.99,6 Options,Mainland China,0,Yami,Juice,200,800,398
Yellow Peach Soda 225ml,2,4.49,No,Mainland China,5,Yami,Juice,200,800,898
POKKA Furano Lavender Tea 500ml,7,2.49,No,Japan,4.1,Yami,Juice,25,100,62
POKKA Tea Hojicha 300ml,6,1.79,No,Japan,4.5,Yami,Juice,25,100,45
Black Tea with Lemon Low Sugar,11,3.49,No,Japan,4.6,Yami,Juice,200,800,698
Hong San Won Plus 3 boxes per case,1,48.99,No,Korea,5,Yami,Juice,25,100,1225
Sparkling Water Blueberry Sparkling Water 340g,2,0.99,6 Options,United States,5,Yami,Juice,300,1200,297
Fruit Collagen Drink 300ml,3,2.99,4 Options,Mainland China,4.3,Yami,Juice,200,800,598
Prebiotic Soda Watermelon 340g,2,2.89,No,United States,4.5,Yami,Juice,200,800,578
Prebiotic Soda Orange 340g,1,3.29,No,United States,4,Yami,Juice,200,800,658
Malz Beverage 330ml (Limited to 5 cans),0,3.79,No,Taiwan,0,Yami,Juice,200,800,758
Brown Sugar & Ginger 200g,3,9.49,No,Taiwan,4.7,Yami,Juice,200,800,1898
JAPAN TAISHO Energy Drink 100ml,1,6.8,No,Japan,5,Yami,Juice,200,800,1360
JAPAN Turmeric Hangover Drink 100ml,1,5.15,No,Japan,5,Yami,Juice,200,800,1030
Asparagus Drink 235ml (Limited to 5 cans),0,2.84,No,Taiwan,0,Yami,Juice,200,800,568
OTOKOUME Dried plums,0,3.06,No,Japan,0,Yami,Juice,200,800,612
PING TUNG Turmeric and Onion Drink 100ml  (Limited to 5 bottles),1,4.74,No,Taiwan,5,Yami,Juice,1000,4000,4740
Beer Flavored Beverage ( Alcohol-free)  330ml (Limited to 5 cans),3,3.79,No,Taiwan,4.7,Yami,Juice,1000,4000,3790
Litchi Fruit Tea 10 Bags,3,5.5,No,Japan,3.7,Yami,Juice,200,800,1100
Orange Juice 450ml,42,1.39,No,Taiwan,4.7,Yami,Juice,25,100,35
Canned Coconut Juice 245ml,105,1.39,2 Options,Mainland China,4.7,Yami,Juice,25,100,35
Coconut Juice 1L,178,4.99,3 Options,Mainland China,5,Yami,Juice,25,100,125
Full Marks Microbubble Juice Grapefruit 380ml,20,1.8,2 Options,Mainland China,5,Yami,Juice,25,100,45
Yubaiwei Corn Juice 245ml,0,1.89,No,Mainland China,0,Yami,Juice,200,800,378
Chinese Plum Juice Osmanthus Flavor 300ml,4,1.89,3 Options,Mainland China,4.2,Yami,Juice,200,800,378
Organic Watermelon Juice 33.8fz,4,4.89,No,United States,4.5,Yami,Juice,200,800,978
Herbal Jelly with Litchi Juice and Honey 1265g,96,6.99,6 Options,Mainland China,4.8,Yami,Juice,25,100,175
Crunched Pear Juice 238ml,76,1.19,No,Korea,4.3,Yami,Juice,25,100,30
Hawthorn Juice 350ml,55,1.79,No,Mainland China,4.5,Yami,Juice,25,100,45
Rock Sugar Stewed Pear Fruit juice drink pear juice 300ml,56,1.69,No,Mainland China,4.5,Yami,Juice,25,100,42
Grape Juice with Real Fruit Pieces 380g,35,2.79,No,Japan,4.9,Yami,Juice,25,100,70
Coconut Juice 330ml,36,1.59,No,Mainland China,5,Yami,Juice,25,100,40
VITA Sugarcane Juice Drink 250ml 6 Pack,11,4.29,7 Options,Hong Kong,3.4,Yami,Juice,200,800,858
Coco Grape Juice 238ml,32,1.49,No,Korea,4.5,Yami,Juice,25,100,37
Roasted Coconut Juice 350ml,7,0.89,No,Thailand,4.3,Yami,Juice,200,800,178
Orange Juice 200ml*6,5,5.99,2 Options,Korea,5,Yami,Juice,25,100,150
Jeju Tangerines Juice 500ml,7,1.99,No,Korea,4.1,Yami,Juice,200,800,398
Apple Juice 200ml*6,6,5.99,2 Options,Korea,4.5,Yami,Juice,25,100,150
PANPAN Coconut Juice 500ml,3,1.69,2 Options,Mainland China,4.3,Yami,Juice,200,800,338
Red Guava Mixed Fruits Juice Drink 320ml,3,1.09,No,Taiwan,5,Yami,Juice,200,800,218
Guava Juice Drink 320ml,3,1.69,No,Unclear,3.7,Yami,Juice,200,800,338
Osmanthus Plum Juice 310ml,3,1.99,No,Mainland China,4.3,Yami,Juice,200,800,398
House Plum Juice 500ml,2,1.39,No,Mainland China,4.5,Yami,Juice,200,800,278
Coconut Juice Plant based Protein Drink without pulp 380ml,0,3.99,2 Options,Unclear,0,Yami,Juice,200,800,798
Taiwanese Peach Juice Drink 340ml,47,1.09,5 Options,Taiwan,4.4,Yami,Juice,50,200,55
Aomori Golden Apple Juice 1000ml,6,8.99,No,Mainland China,4.8,Yami,Juice,25,100,225
Icy Red Bayberry Juice,6,4.39,No,Mainland China,4.8,Yami,Juice,100,400,439
Taiwanese Pineapple Juice Drink 340ml,31,1.09,5 Options,Taiwan,4.6,Yami,Juice,25,100,27
Minute Maid Qoo Juice Apple Flavor 425ml,9,0.99,3 Options,United States,4.7,Yami,Juice,200,800,198
Full Marks Micro-Bubble Juice Summer Black Grape 380ml,12,3.49,No,Mainland China,4.4,Yami,Juice,200,800,698
Sea Buckthorn Juice 200ml,6,2.49,No,Mainland China,4.3,Yami,Juice,200,800,498
Chinese Plum Juice Howthom Flavor 300ml,6,1.89,3 Options,Mainland China,4.8,Yami,Juice,200,800,378
Pop Apple Juice Drink 480ml,18,1.99,No,Mainland China,4.7,Yami,Juice,25,100,50
Gokuri Grape Juice 400ml,8,2.99,No,Japan,4.5,Yami,Juice,200,800,598
White Peach Juice 380g,4,2.99,No,Japan,4.8,Yami,Juice,200,800,598
PIneapple Juice with Nata De Coco 380ml,4,2.69,No,Japan,5,Yami,Juice,200,800,538
TAOTI Pineapple Orange Juice Drink Carbonated 500ml,6,1.99,6 Options,Taiwan,3.8,Yami,Juice,200,800,398
Hawthorn Juice 350ml,0,2.09,No,Mainland China,0,Yami,Juice,200,800,418
Red Jujube Juice 300ml,5,1.99,No,Mainland China,3.8,Yami,Juice,200,800,398
Nectar Mixed Fruit Juice 195g,5,2.19,3 Options,Japan,3.2,Yami,Juice,200,800,438
Nectar Peach Grape Juice 195g,4,2.19,3 Options,Japan,2.5,Yami,Juice,200,800,438
Tropicana Orange Juice 500ml,0,2.49,No,Singapore,0,Yami,Juice,200,800,498
Juice Tea Lime Flavor 400ml,1,1.19,3 Options,Mainland China,5,Yami,Juice,200,800,238
Mixed Juice Drink 320ml,1,1.39,No,Unclear,4,Yami,Juice,200,800,278
Sac Sac Grape Juice 238ml,161,0.99,2 Options,Korea,4.6,Yami,Juice,25,100,25
TAIWAN Guava Juice Drink 320ml,51,1.29,No,Taiwan,4.7,Yami,Juice,50,200,65
Fruit Juice Lollipop For Healthy Teeth 25pcs,0,12.99,No,Japan,0,Yami,Juice,100,400,1299
Coconut Juice Drink 245ml,13,1.09,No,Unclear,4.2,Yami,Juice,100,400,109
Lychee Juice Filled QQ Gummy 45g,3,2.29,No,Japan,5,Yami,Juice,200,800,458
Plum Extract Juice 500ml,4,12.99,No,Korea,4.2,Yami,Juice,100,400,1299
BZS Coconut Juice with Multi Grain 200g  EXP:06/01/2021,73,3.69,8 Options,Mainland China,4.8,Yami,Juice,25,100,92
Purple Rice Juice with Coconut Milk 225g,2,4.99,No,Mainland China,4,Yami,Juice,200,800,998
TAISHI Coconut Juice 600ml,53,2.19,No,Mainland China,4.6,Yami,Juice,25,100,55
Heart-shaped Fruit Juice Collagen Jelly Honey Melon Flavor 54g+Grape Fruit 54g,0,6.58,No,Japan,0,Yami,Juice,200,800,1316
Aomori Apple Juice 1000ml,13,7.99,No,Japan,5,Yami,Juice,200,800,1598
Taiwanese Lychee Juice Drink 340ml,22,1.09,5 Options,Taiwan,4.6,Yami,Juice,25,100,27
Juice Popsicle 10pc 30oz,5,2.99,No,Mainland China,4.6,Yami,Juice,200,800,598
Lemon Juice Drink 345ml,7,2.29,No,Japan,5,Yami,Juice,25,100,57
Hawthron Juice 350ml,3,1.59,No,Mainland China,4.3,Yami,Juice,200,800,318
SHOUQUANZHAI Xinyuanzhai Osmanthus Plum Juice 300ml,5,1.99,No,Mainland China,3.8,Yami,Juice,200,800,398
Juice Tea Peach Flavor 400lml,2,1.19,3 Options,Mainland China,5,Yami,Juice,200,800,238
Tamarind Juice 310ml,5,1.79,2 Options,Mainland China,4,Yami,Juice,200,800,358
"Type Juice Collagen Gummy, Mango Flavor 56g",0,2.69,No,Japan,0,Yami,Juice,200,800,538
Heart-shaped Fruit Juice Collagen Jelly Grapefruit Flavor 54g,6,3.29,3 Options,Japan,4,Yami,Juice,200,800,658
Pikachu Juice Gummy Candy 28g,2,1.89,No,Japan,5,Yami,Juice,200,800,378
?€?Value Set?€?Canned Coconut Juice 245ml * 6 Pack of 6,144,7.99,2 Options,Mainland China,4.9,Yami,Juice,25,100,200
"Multifunctional Portable Juicer Juice Maker,  White, Old Fashion Style",2,149.99,2 Options,Mainland China,5,Yami,Juice,25,100,3750
Hawthorn Juice Drink 350ml,107,1.49,No,Mainland China,4.7,Yami,Juice,25,100,37
TAOTI Mandarin Lemon Juice Drink 500ml,7,1.99,No,Taiwan,4.4,Yami,Juice,200,800,398
Fruit & Vegetable Juice Drinks 580ml,0,1.49,No,Mainland China,0,Yami,Juice,200,800,298
VITA Blackcurrant Juice 250ml Pack of 6,15,4.09,7 Options,Hong Kong,4.8,Yami,Juice,200,800,818
Taiwanese Mango Juice Drink 340ml,41,1.09,5 Options,Taiwan,4.6,Yami,Juice,25,100,27
Chinese Plum Juice Rosella Flavor 300ml,1,1.89,3 Options,Mainland China,5,Yami,Juice,200,800,378
Bird's Nest Lychee Juice Drink 180ml,22,4.99,4 Options,Thailand,4.1,Yami,Juice,25,100,125
RIBBON Grape Juice Jelly 275ml,12,2.29,No,Japan,4.3,Yami,Juice,200,800,458
C100 Green Tangerine Juice Water 445ml,5,1.99,3 Options,Mainland China,4,Yami,Juice,200,800,398
Grape Juice 500ml,7,1.49,No,Mainland China,4.9,Yami,Juice,200,800,298
Osmanthus Plum Juice 330ml,5,3.69,No,Mainland China,5,Yami,Juice,200,800,738
Apple Juice Drink with Nata De Coco 320ml,5,1.09,No,Thailand,3.4,Yami,Juice,200,800,218
Peach Juice Drink 320ml,6,1.69,No,Unclear,5,Yami,Juice,200,800,338
House Beijing Plum Juice 300ml,5,1.39,No,Mainland China,3.8,Yami,Juice,200,800,278
Juice Tea Orange Lemon Flavor 400ml,1,1.19,3 Options,Mainland China,5,Yami,Juice,200,800,238
Nectar Peach Apple Juice 195g,1,2.19,3 Options,Japan,5,Yami,Juice,200,800,438
INSTANT DESSERT COCONUT JUICE WITH BLACK GLUTINOUS RICE 225g,168,3.69,8 Options,Mainland China,4.7,Yami,Juice,25,100,92
Herbal Jelly with Pear Juice and Honey 1265g,116,5.49,6 Options,Mainland China,4.6,Yami,Juice,25,100,137
NITTO White Peach Fruit Juice Tea 240g,57,6.99,No,Japan,4.6,Yami,Juice,25,100,175
Coconut Juice With Nata Drink 245ml,46,1.19,No,Mainland China,4.6,Yami,Juice,25,100,30
Raw Squeezed Coconut Juice 245ml,32,1.49,No,Mainland China,4.7,Yami,Juice,25,100,37
Collagen Juice Jelly Peach Flavor 180g,11,3.29,4 Options,Korea,4.6,Yami,Juice,200,800,658
Collagen Juice Jelly Pear Flavor 180g,9,3.29,4 Options,Korea,4.7,Yami,Juice,200,800,658
Beijing Plum Juice Instant Drink 272g,1,3.29,No,Mainland China,5,Yami,Juice,200,800,658
Heart-shaped Fruit Juice Collagen Jelly Honey Melon Flavor 54g,1,3.29,3 Options,Japan,5,Yami,Juice,200,800,658
Vegemil Banana Soy Milk Real Banana Juice Added 190ml*16packs,0,14.99,No,Korea,0,Yami,Juice,100,400,1499
Margaret Josefin BREATH PALETTE O Orange juice 25g,0,2.37,No,Japan,0,Yami,Juice,200,800,474
Smoothie Yellow 500ml,0,2.19,No,Korea,0,Yami,Juice,200,800,438
Hawthorn Berry Drink 358ml,3,1.39,No,Mainland China,4.7,Yami,Juice,200,800,278
Assorted Fruit Yogurt Drink 220ml,8,1.79,No,Japan,3.5,Yami,Juice,200,800,358
Hawthorn Drink 300ml,33,2.79,4 Options,Mainland China,4.8,Yami,Juice,25,100,70
White Peach Soda Water 330ml,170,1.39,7 Options,Mainland China,4.9,Yami,Juice,25,100,35
GF-Sparkling Water Grape Delight 330ml,10,1.49,7 Options,Mainland China,4.8,Yami,Juice,200,800,298
Mango Flavor Drink 500ml,64,1.49,No,Mainland China,4.7,Yami,Juice,25,100,37
Sugar Free Iced Black Tea 500ml,26,1.49,No,Mainland China,4.6,Yami,Juice,25,100,37
